English	Urdu
1	1ء
10	10ء
100	100ء
11	11ء
12	12ء
13	13ء
14	14ء
15	15ء
16	16ء
17	17ء
18	18ء
19	19ء
2	2ء
20	20ء
21	21ء
22	22ء
23	23ء
24	24ء
25	25ء
26	26ء
27	27ء
28	28ء
29	29ء
3	3ء
30	30ء
31	31ء
32	32ء
33	33ء
34	34ء
35	35ء
36	36ء
37	37ء
38	38ء
39	39ء
4	4ء
40	40ء
41	41ء
42	42ء
43	43ء
44	44ء
45	45ء
46	46ء
47	47ء
48	48ء
49	49ء
5	5ء
50	50ء
51	51ء
52	52ء
53	53ء
54	54ء
55	55ء
56	56ء
57	57ء
58	58ء
59	59ء
6	6ء
60	60ء
61	61ء
62	62ء
63	63ء
64	64ء
65	65ء
66	66ء
67	67ء
68	68ء
69	69ء
7	7ء
70	70ء
71	71ء
72	72ء
73	73ء
74	74ء
75	75ء
76	76ء
77	77ء
78	78ء
79	79ء
8	8ء
80	80ء
81	81ء
82	82ء
83	83ء
84	84ء
85	85ء
86	86ء
87	87ء
88	88ء
89	89ء
9	9ء
90	90ء
91	91ء
92	92ء
93	93ء
94	94ء
95	95ء
96	96ء
97	97ء
98	98ء
99	99ء
AIDS	محصولی کسرمناعی متلازمہ
Abacus	گنتارا
Abortion	اسقاط (حمل)
Abraham	ابراہیم علیہ السلام
Abraham Lincoln	ابراہام لنکن
Abstract art	تجریدی آرٹ
Abu Dhabi	ابوظہبی
Acetylcholine	اسی ٹائل کولین
Achillea millefolium	اَلفیہ
Achilles	ایکلیز
Aconcagua	اکنکاگوا
Adam Smith	آدم سمتھ
Adenine	ادینین
Admiral	امیر البحر
Adolf Eichmann	اڈولف ایش مان
Adolf Hitler	ہٹلر
Adonis	ایڈونس
Adriatic Sea	بحیرہ ایڈریاٹک
Aegean Sea	بحیرہ ایجیئن
Aeschylus	ایس کلس
Aesop	ایسپ
Aesthetics	جمالیات
Afghanistan	افغانستان
Afghanistan	زمرہ:افغانستان
Africa	افریقہ
Africa	زمرہ:افریقہ
Agra	آگرہ
Al-Qaeda	القاعدہ
Alabama	الاباما
Alaska	الاسکا
Albania	البانیا
Albert Camus	البیغ کامو
Albert Einstein	البرٹ آئنسٹائن
Albinism	مہق
Aleppo	حلب
Alexander Fleming	الیگزنڈر فلیمنگ
Alexander Graham Bell	الیگزنڈر گراہم بیل
Alexander Pushkin	پُشکن
Alexander the Great	سکندر اعظم
Alexandre Dumas	الیگزنڈر ڈیوما
Alexandria	اسکندریہ
Alfred the Great	الفریڈاعظم
Algae	طحالب
Algeria	الجزائر
Alhambra	الحمرا
Ali	علی علیہ السلام
Allah	اللہ
Aloe	صَبِر
Alphabet	حروف تہجی
Alps	الپس
Aluminium oxide	ایلومینا
Amazon River	دریائے ایمیزون
American Standard Code for Information Interchange	امریکی معیاری رمز براۓ اطلاعاتی تبادلہ
Amphibian	جل تھلیل
Amphitheatre	ایمفی تھیٹر
Analytic geometry	تحلیلی ہندسہ
Anatomy	تشریح
Anaximander	اناکسی میندر
Andes	سلسلہ کوہ انڈیز
Andhra Pradesh	آندھرا پردیش
Andorra	انڈورا
Andrew Jackson	اینڈریو جیکسن
Andrew Johnson	انڈریو جانسن
