English	Vietnamese
1 (number)	1 (số)
10 (number)	10 (số)
100 (number)	100 (số)
1000	Thể loại:1000
1000 (number)	1000 (số)
11 (number)	11 (số)
12 (number)	12 (số)
13	13
13 (number)	13 (số)
14 (number)	14 (số)
15 (number)	15 (số)
16 (number)	16 (số)
17 (number)	17 (số)
1728	Thể loại:1728
1750s	Thể loại:Thập niên 1750
1760s	Thể loại:Thập niên 1760
1770s	Thể loại:Thập niên 1770
1780s	Thể loại:Thập niên 1780
1790s	Thể loại:Thập niên 1790
18 (number)	18 (số)
1820s	Thể loại:Thập niên 1820
1830s	Thể loại:Thập niên 1830
1840s	Thể loại:Thập niên 1840
1860s	Thể loại:Thập niên 1860
1870s	Thể loại:Thập niên 1870
1880s	Thể loại:Thập niên 1880
1890s	Thể loại:Thập niên 1890
19 (number)	19 (số)
1900s	Thể loại:Thập niên 1900
1920s	Thể loại:Thập niên 1920
1930s	Thể loại:Thập niên 1930
1940s	Thể loại:Thập niên 1940
1950s	Thể loại:Thập niên 1950
1960s	Thể loại:Thập niên 1960
1970s	Thập niên 1970
1970s	Thể loại:Thập niên 1970
1980s	Thập niên 1980
1980s	Thể loại:Thập niên 1980
1990s	Thập niên 1990
1990s	Thể loại:Thập niên 1990
2 (number)	2 (số)
20 (number)	20 (số)
21 (number)	21 (số)
22 (number)	22 (số)
23 (number)	23 (số)
24 (number)	24 (số)
25 (number)	25 (số)
26 (number)	26 (số)
27 (number)	27 (số)
28 (number)	28 (số)
29 (number)	29 (số)
3 (number)	3 (số)
30 (number)	30 (số)
31 (number)	31 (số)
32 (number)	32 (số)
33 (number)	33 (số)
34 (number)	34 (số)
35 (number)	35 (số)
36 (number)	36 (số)
37 (number)	37 (số)
38 (number)	38 (số)
39 (number)	39 (số)
4 (number)	4 (số)
40 (number)	40 (số)
41 (number)	41 (số)
42 (number)	42 (số)
43 (number)	43 (số)
45 (number)	45 (số)
46 (number)	46 (số)
49 (number)	49 (số)
5 (number)	5 (số)
50 (number)	50 (số)
6 (number)	6 (số)
60 (number)	60 (số)
7 (number)	7 (số)
8 (number)	8 (số)
80 (number)	80 (số)
9 (number)	9 (số)
A	A
ABC	ABC
AIDS	AIDS
ATP	ATP
Aachen	Aachen
Aarhus	Aarhus
Abel Tasman	Abel Tasman
Abelian group	Nhóm giao hoán
Abidjan	Abidjan
Abkhazia	Abkhazia
Abraham	Abraham (Kinh Thánh)
Abraham Lincoln	Abraham Lincoln
Absolute value	Giá trị tuyệt đối
Absolute zero	Nhiệt độ không tuyệt đối
Abu Dhabi	Abu Dhabi
Abuja	Abuja
Acacia	Chi Keo
Academy Award	Giải Oscar
Acceleration	Gia tốc
Accra	Accra
Acetic acid	Axít axetic
Achilles	Achilles (thần thoại)
Acid	Axít
Acid rain	Mưa axít
Acne vulgaris	Mụn
Aconcagua	Aconcagua
Acoustics	Âm học
Acoustics	Thể loại:Âm học
Acre	Mẫu Anh
Acre (state)	Acre (bang)
Actinide	Nhóm Actini
Actor	Diễn viên
Ada (programming language)	Ada (ngôn ngữ lập trình)
