English	Volapuk
1000	1000
1728	1728
A	A
Aachen	Aachen
Aalborg	Aalborg
Aarhus	Århus
Aberdeen	Aberdeen (Skotän)
Abidjan	Abidjan
Abkhazia	Labkasän
Abu Dhabi	Äbu Saby
Abu Dhabi (emirate)	Äbu Saby
Acapulco	Acapulco
Accra	Accra
Acre (state)	Acre
Adelaide	Adelaide
Afghanistan	Lafganistän
Agrigento	Agrigento
Ain	Ain
Akira Kurosawa	Akira Kurosawa
Alabama	Alabama
Alan Turing	Alan Turing
Alaska	Alaska
Albania	Lalbanän
Albany	Albany (New York)
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Alberta	Alberta
Albuquerque	Albuquerque
Alexander Pushkin	Alexander Pujkin
Alfred Hitchcock	Alfred Hitchcock
Algeria	Laljerän
Algiers	Cäsair
Amman	Amman
Amsterdam	Amsterdam
Anaheim	Anaheim
Anchorage	Anchorage (Alaska)
Andorra	Landorän
Andy Warhol	Andy Warhol
Angola	Langolän
Ankara	Ankara
Annapolis	Annapolis (Maryland)
Antakya	Antakya
Antigua and Barbuda	Lantigeän e Barbudeän
Antofagasta	Antofagasta
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Cehov
Antonio Vivaldi	Antonio Vivaldi
Antwerp	Antwerpen (zif)
Antwerp (province)	Antwerpen (provin)
Apia	Apia
Apollo (disambiguation)	Apollo
Applied mathematics	Matemat pajäfüköl
April	Prilul
April 14	Prilul 14
Arcangelo Corelli	Arcangelo Corelli
Archaeology	Vönotav
Archimedes	Arkimedes
Ardennes (department)	Ardennes
Argentina	Largäntän
Argentina	Klad:Largäntän
Aristotle	Aristoteles
Arizona	Arizona
Arkansas	Arkansas
Arles	Arles
Armenia	Larmeniyän
Armenia	Klad:Larmeniyän
Arnhem	Arnhem
Arras	Arras
Arthur Rimbaud	Arthur Rimbaud
Arts	Klad:Lekans
Asia	Siyop
Astana	Astana
Astronomy	Stelav
Atlanta	Atlanta
Au	Au
August	Gustul
August 1	Gustul 1
