Esperanto	English
Nulo	0 (number)
1	1
Unu	1 (number)
10	10
Dek	10 (number)
100	100
Cent	100 (number)
1000	1000
Mil	1000 (number)
101	101
105	105
11	11
Dek unu	11 (number)
110	110
115	115
12	12
Dek du	12 (number)
120	120
125	125
13	13
Dek tri	13 (number)
130	130
135	135
14	14
Dek kvar	14 (number)
140	140
144	144
145	145
15	15
Dek kvin	15 (number)
150	150
155	155
16	16
Dek ses	16 (number)
160	160
165	165
17	17
Dek sep	17 (number)
170	170
1728	1728
Kategorio:1728	1728
175	175
1750-aj jaroj	1750s
1760-aj jaroj	1760s
1770-aj jaroj	1770s
1790-aj jaroj	1790s
18	18
Dek ok	18 (number)
180	180
1820-aj jaroj	1820s
1840-aj jaroj	1840s
1850-aj jaroj	1850s
1860-aj jaroj	1860s
1870-aj jaroj	1870s
1880-aj jaroj	1880s
1890-aj jaroj	1890s
19	19
Dek naŭ	19 (number)
190	190
1900-aj jaroj	1900s
1920-aj jaroj	1920s
1930-aj jaroj	1930s
1940-aj jaroj	1940s
1950-aj jaroj	1950s
1960-aj jaroj	1960s
1970-aj jaroj	1970s
1980-aj jaroj	1980s
1990-aj jaroj	1990s
2	2
Du	2 (number)
20	20
Dudek	20 (number)
200	200
21	21
Dudek unu	21 (number)
22	22
Dudek du	22 (number)
23	23
Dudek tri	23 (number)
24	24
24 (televidserio)	24 (TV series)
Dudek kvar	24 (number)
25	25
Dudek kvin	25 (number)
26	26
Dudek ses	26 (number)
27	27
Dudek sep	27 (number)
28	28
Dudek ok	28 (number)
29	29
Dudek naŭ	29 (number)
3	3
Tri	3 (number)
30	30
Tridek	30 (number)
300	300
31	31
Tridek unu	31 (number)
32	32
Tridek du	32 (number)
33	33
Tridek tri	33 (number)
34	34
Tridek kvar	34 (number)
35	35
Tridek kvin	35 (number)
36	36
Tridek ses	36 (number)
37	37
Tridek sep	37 (number)
38	38
Tridek ok	38 (number)
39	39
Tridek naŭ	39 (number)
4	4
Kvar	4 (number)
40	40
Kvardek	40 (number)
400	400
41	41
Kvardek unu	41 (number)
42	42
Kvardek du	42 (number)
43	43
Kvardek tri	43 (number)
44	44
45	45
Kvardek kvin	45 (number)
46	46
Kvardek ses	46 (number)
47	47
48	48
49	49
Kvardek naŭ	49 (number)
5	5
Kvin	5 (number)
50	50
Kvindek	50 (number)
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
Ses	6 (number)
60	60
Sesdek	60 (number)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
Sep	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
Ok	8 (number)
80	80
Okdek	80 (number)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
Naŭ	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A (cirila alfabeto)	A (Cyrillic)
Voĉa muziko	A cappella
ABC	ABC
Aidoso	AIDS
ATP	ATP
Aachen	Aachen
Aalborg	Aalborg
Aro (rivero)	Aar
Orikteropo	Aardvark
Arhuzo	Aarhus
Aaron	Aaron
Abako (meĥanika kalkulilo)	Abacus
Abadano	Abadan
Abato	Abbot
Mallongigo	Abbreviation
Ventro	Abdomen
Abel Tasman	Abel Tasman
Komuta grupo	Abelian group
Aberdeen	Aberdeen
Abiĝano	Abidjan
Abĥazio	Abkhazia
Kategorio:Abĥazio	Abkhazia
Aboliciismo	Abolitionism
Aborto	Abortion
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absinttrinkaĵo	Absinthe
Absoluta magnitudo	Absolute magnitude
Absoluta valoro	Absolute value
Absolutismo	Absolutism (European history)
Abstrakta arto	Abstract art
Abstrakta ekspresionismo	Abstract expressionism
Abstraktado	Abstraction
Abu-Dabio	Abu Dhabi
Abu-Dabio	Abu Dhabi (emirate)
Abuĝo	Abuja
Akacio	Acacia
Akademia Premio	Academy Award
Akapulko	Acapulco
Akcelo	Acceleration
Akcipitredoj	Accipitridae
Akordiono	Accordion
Kontado	Accountancy
Akrao	Accra
Akuzativo	Accusative case
Aceta acido	Acetic acid
