Finnish	English
0 (luku)	0 (number)
1	1
1 (luku)	1 (number)
10	10
10 (luku)	10 (number)
100	100
Sata	100 (number)
1000	1000
Tuhat	1000 (number)
101	101
105	105
11	11
11 (luku)	11 (number)
110	110
115	115
12	12
12 (luku)	12 (number)
120	120
125	125
13	13
13 (luku)	13 (number)
130	130
135	135
14	14
14 (luku)	14 (number)
140	140
144	144
145	145
15	15
15 (luku)	15 (number)
150	150
1530-luku	1530s
155	155
16	16
16 (luku)	16 (number)
160	160
165	165
17	17
17 (luku)	17 (number)
170	170
1728	1728
175	175
1750-luku	1750s
Luokka:1750-luku	1750s
1760-luku	1760s
Luokka:1760-luku	1760s
1770-luku	1770s
Luokka:1770-luku	1770s
1780-luku	1780s
Luokka:1780-luku	1780s
1790-luku	1790s
Luokka:1790-luku	1790s
18	18
18 (luku)	18 (number)
180	180
1820-luku	1820s
Luokka:1820-luku	1820s
1830-luku	1830s
Luokka:1830-luku	1830s
1840-luku	1840s
Luokka:1840-luku	1840s
1850-luku	1850s
1860-luku	1860s
Luokka:1860-luku	1860s
1870-luku	1870s
Luokka:1870-luku	1870s
1880-luku	1880s
Luokka:1880-luku	1880s
1890-luku	1890s
Luokka:1890-luku	1890s
19	19
19 (luku)	19 (number)
190	190
1900-vuosikymmen	1900s
Luokka:1900-vuosikymmen	1900s
1920-luku	1920s
Luokka:1920-luku	1920s
1930-luku	1930s
Luokka:1930-luku	1930s
1940-luku	1940s
Luokka:1940-luku	1940s
1950-luku	1950s
Luokka:1950-luku	1950s
1960-luku	1960s
Luokka:1960-luku	1960s
1970-luku	1970s
Luokka:1970-luku	1970s
1980-luku	1980s
Luokka:1980-luku	1980s
1990-luku	1990s
Luokka:1990-luku	1990s
2	2
2 (luku)	2 (number)
20	20
20 (luku)	20 (number)
200	200
21	21
21 (luku)	21 (number)
22	22
22 (luku)	22 (number)
23	23
23 (luku)	23 (number)
24	24
24 (televisiosarja)	24 (TV series)
24 (luku)	24 (number)
25	25
25 (luku)	25 (number)
26	26
26 (luku)	26 (number)
27	27
27 (luku)	27 (number)
28	28
28 (luku)	28 (number)
29	29
29 (luku)	29 (number)
3	3
3 (luku)	3 (number)
30	30
30 (luku)	30 (number)
300	300
31	31
31 (luku)	31 (number)
32	32
32 (luku)	32 (number)
33	33
33 (luku)	33 (number)
34	34
34 (luku)	34 (number)
35	35
35 (luku)	35 (number)
36	36
36 (luku)	36 (number)
37	37
37 (luku)	37 (number)
38	38
38 (luku)	38 (number)
39	39
39 (luku)	39 (number)
4	4
4 (luku)	4 (number)
40	40
40 (luku)	40 (number)
400	400
41	41
41 (luku)	41 (number)
42	42
42 (luku)	42 (number)
43	43
43 (luku)	43 (number)
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (luku)	5 (number)
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (luku)	6 (number)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (luku)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (luku)	8 (number)
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (luku)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
А	A (Cyrillic)
A cappella	A cappella
ABC	ABC
AIDS	AIDS
ALGOL	ALGOL
ATP	ATP
AZ Alkmaar	AZ (football club)
Aachen	Aachen
Aalborg	Aalborg
Aare	Aar
Maasika	Aardvark
Århus	Aarhus
Aaron	Aaron
Helmitaulu	Abacus
Abadan	Abadan
Apotti	Abbot
Abel Tasman	Abel Tasman
Abelin ryhmä	Abelian group
Aberdeen	Aberdeen
Abidjan	Abidjan
Abhasia	Abkhazia
Abolitionismi	Abolitionism
Abortti	Abortion
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absintti	Absinthe
Itseisarvo	Absolute value
Absoluuttinen nollapiste	Absolute zero
Itsevaltius	Absolutism (European history)
Abstrakti taide	Abstract art
Abstrakti ekspressionismi	Abstract expressionism
Abu Dhabi	Abu Dhabi
Abu Dhabi	Abu Dhabi (emirate)
Abuja	Abuja
Akasiat	Acacia
Oscar-palkinto	Academy Award
Acapulco	Acapulco
Kiihtyvyys	Acceleration
Haukat	Accipitridae
Harmonikka	Accordion
Kirjanpito	Accountancy
Luokka:Kirjanpito	Accountancy
Accra	Accra
Akkusatiivi	Accusative case
Asetaldehydi	Acetaldehyde
Etikkahappo	Acetic acid
Asetoni	Acetone
Asetyylikoliini	Acetylcholine
Asetyleeni	Acetylene
Akheron	Acheron
Siankärsämö	Achillea millefolium
Akhilleus	Achilles
Happo	Acid
Happamoituminen	Acid rain
Akne	Acne vulgaris
Aconcagua	Aconcagua
Akustiikka	Acoustics
Luokka:Akustiikka	Acoustics
Eekkeri	Acre
Akko	Acre
Acre	Acre (state)
Akropolis	Acropolis
Aktinoidi	Actinide
Aktinium	Actinium
Näyttelijä	Actor
Apostolien teot	Acts of the Apostles
Akupunktio	Acupuncture
Argumentum ad hominem	Ad hominem
Ada	Ada (programming language)
Aadam	Adam
Adam Smith	Adam Smith
Adana	Adana
Riippuvuus	Addiction
Addis Abeba	Addis Ababa
Yhteenlasku	Addition
Adelaide	Adelaide
Aden	Aden
Adeniini	Adenine
Adenosiinitrifosfaatti	Adenosine triphosphate
Adiabaattinen prosessi	Adiabatic process
Adige	Adige
Adjektiivi	Adjective
Amiraali	Admiral
Teini	Adolescence
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Adoptio	Adoption
Lisämunuainen	Adrenal gland
Adrianmeri	Adriatic Sea
Adsorptio	Adsorption
Aikuisuus	Adult
Adventti	Advent
Adverbi	Adverb
Mainonta	Advertising
Aigeianmeri	Aegean Sea
Aineias	Aeneas
Aeneis	Aeneid
Aiolos	Aeolus
Aerodynamiikka	Aerodynamics
Aerosoli	Aerosol
Aiskhylos	Aeschylus
Aisopos	Aesop
Estetiikka	Aesthetics
Affiksi	Affix
Afganistan	Afghanistan
Luokka:Afganistan	Afghanistan
Afrikka	Africa
Luokka:Afrikka	Africa
Afroamerikkalaiset	African American
Afrikaans	Afrikaans
Agamemnon	Agamemnon
Agar	Agar
Akaatti	Agate
Agatha Christie	Agatha Christie
Aggressio	Aggression
Leuattomat kalat	Agnatha
Agnostisismi	Agnosticism
Agora	Agora
Agorafobia	Agoraphobia
Agra	Agra
Maatalous	Agriculture
Luokka:Maatalous	Agriculture
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain
Ilmavoimat	Air force
Airbus	Airbus
