German	English
Null	0 (number)
1	1
Eins	1 (number)
10	10
Zehn	10 (number)
100	100
Kategorie:100	100
Hundert	100 (number)
1000	1000
Kategorie:1000	1000
Tausend	1000 (number)
101	101
105	105
11	11
Elf	11 (number)
110	110
115	115
12	12
Kategorie:12	12
Zwölf	12 (number)
120	120
125	125
13	13
Dreizehn	13 (number)
130	130
135	135
14	14
Kategorie:14	14
Vierzehn	14 (number)
140	140
144	144
145	145
15	15
Fünfzehn	15 (number)
150	150
1530er	1530s
155	155
16	16
Kategorie:16	16
Sechzehn	16 (number)
160	160
165	165
17	17
Kategorie:17	17
Siebzehn	17 (number)
170	170
1728	1728
Kategorie:1728	1728
175	175
1750er	1750s
Kategorie:1750er	1750s
1760er	1760s
Kategorie:1760er	1760s
1770er	1770s
Kategorie:1770er	1770s
1780er	1780s
Kategorie:1780er	1780s
1790er	1790s
Kategorie:1790er	1790s
18	18
Achtzehn	18 (number)
180	180
1820er	1820s
Kategorie:1820er	1820s
1830er	1830s
Kategorie:1830er	1830s
1840er	1840s
Kategorie:1840er	1840s
1850er	1850s
1860er	1860s
Kategorie:1860er	1860s
1870er	1870s
Kategorie:1870er	1870s
1880er	1880s
Kategorie:1880er	1880s
1890er	1890s
Kategorie:1890er	1890s
19	19
Neunzehn	19 (number)
190	190
1900er	1900s
Kategorie:1900er	1900s
1920er	1920s
Kategorie:1920er	1920s
1930er	1930s
Kategorie:1930er	1930s
1940er	1940s
Kategorie:1940er	1940s
1950er	1950s
Kategorie:1950er	1950s
1960er	1960s
Kategorie:1960er	1960s
1970er	1970s
Kategorie:1970er	1970s
1980er	1980s
Kategorie:1980er	1980s
1990er	1990s
Kategorie:1990er	1990s
2	2
Zwei	2 (number)
20	20
Zwanzig	20 (number)
200	200
21	21
Einundzwanzig	21 (number)
22	22
23	23
Dreiundzwanzig	23 (number)
24	24
24 (Fernsehserie)	24 (TV series)
Vierundzwanzig	24 (number)
25	25
Fünfundzwanzig	25 (number)
26	26
Sechsundzwanzig	26 (number)
27	27
