Greek	English
Μηδέν	0 (number)
1	1
10	10
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
175	175
18	18
180	180
Κατηγορία:Δεκαετία 1870	1870s
Κατηγορία:Δεκαετία 1880	1880s
Κατηγορία:Δεκαετία 1890	1890s
19	19
190	190
Δεκαετία 1900	1900s
Κατηγορία:Δεκαετία 1900	1900s
Δεκαετία 1920	1920s
Κατηγορία:Δεκαετία 1920	1920s
Δεκαετία 1930	1930s
Κατηγορία:Δεκαετία 1930	1930s
Δεκαετία 1940	1940s
Κατηγορία:Δεκαετία 1940	1940s
Δεκαετία 1950	1950s
Κατηγορία:Δεκαετία 1950	1950s
Δεκαετία 1960	1960s
Κατηγορία:Δεκαετία 1960	1960s
Δεκαετία 1970	1970s
Κατηγορία:Δεκαετία 1970	1970s
Δεκαετία 1980	1980s
Κατηγορία:Δεκαετία 1980	1980s
Δεκαετία 1990	1990s
Κατηγορία:Δεκαετία 1990	1990s
2	2
20	20
200	200
21	21
22	22
23	23
24	24
24 (τηλεοπτική σειρά)	24 (TV series)
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
Seven	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
ABC	ABC
AIDS	AIDS
Άαχεν	Aachen
Άλμπορκ	Aalborg
Άαρ	Aar
Ώρχους	Aarhus
Ααρών	Aaron
Άβακας	Abacus
Αββάς	Abbot
Συντομογραφία	Abbreviation
Άμπελ Τάσμαν	Abel Tasman
Αβελιανή ομάδα	Abelian group
Αμπερντήν	Aberdeen
Αμπχαζία	Abkhazia
Κατηγορία:Αμπχαζία	Abkhazia
Έκτρωση	Abortion
Αβραάμ	Abraham
Αβραάμ Λίνκολν	Abraham Lincoln
Απόλυτο μηδέν	Absolute zero
Απολυταρχία	Absolutism (European history)
Αφηρημένη τέχνη	Abstract art
Αφηρημένος Εξπρεσιονισμός	Abstract expressionism
Ακακία	Acacia
Όσκαρ	Academy Award
Επιτάχυνση	Acceleration
Λογιστική	Accountancy
Κατηγορία:Λογιστική	Accountancy
Άκρα	Accra
Αιτιατική	Accusative case
Οξικό οξύ	Acetic acid
Ακετόνη	Acetone
Ακετυλοχολίνη	Acetylcholine
Αιθίνιο	Acetylene
Αχέρων	Acheron
Αχιλλέας	Achilles
Οξύ	Acid
