Irish	English
1	1
100	100
100 (uimhir)	100 (number)
13	13
13 (uimhir)	13 (number)
1728	1728
1750í	1750s
1760í	1760s
1770í	1770s
1780í	1780s
1790í	1790s
1820í	1820s
1830í	1830s
1840í	1840s
1850í	1850s
1860í	1860s
1870í	1870s
1880í	1880s
1890í	1890s
1900í	1900s
1920idí	1920s
1930idí	1930s
1940idí	1940s
1950idí	1950s
1960idí	1960s
1970idí	1970s
1980idí	1980s
1990idí	1990s
2	2
3	3
33	33
37	37
4	4
40	40
41	41
42	42
5	5
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (uimhir)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
SEIF	AIDS
Aachen	Aachen
Abraham Lincoln	Abraham Lincoln
Abuja	Abuja
Gradaim an Acadaimh	Academy Award
Luasghéarú	Acceleration
Accra	Accra
Aigéad aicéiteach	Acetic acid
Acre	Acre (state)
Acrapolas	Acropolis
Adam Smith	Adam Smith
Adas Ababa	Addis Ababa
Adelaide	Adelaide
Adolf Hitler	Adolf Hitler
An Aeinéid	Aeneid
An Afganastáin	Afghanistan
An Afraic	Africa
Afracáinis	Afrikaans
Agnóisí	Agnosticism
Talmhaíocht	Agriculture
AJAX	Ajax (programming)
Al Capone	Al Capone
Al Gore	Al Gore
Alabama	Alabama
Catagóir:Alabama	Alabama
Alan Turing	Alan Turing
Alasca	Alaska
An Albáin	Albania
Albert Abraham Michelson	Albert Abraham Michelson
Albert Einstein	Albert Einstein
Alberta	Alberta
Ailceimic	Alchemy
Aleksandr Solzhenitsyn	Aleksandr Solzhenitsyn
Alexander Graham Bell	Alexander Graham Bell
Alastar Mór	Alexander the Great
Alfred Nobel	Alfred Nobel
Ailfrid Mór	Alfred the Great
Algaí	Algae
An Ailgéir	Algeria
Almaty	Almaty
Alfa	Alpha (letter)
Aibítir	Alphabet
Sliabh Alpa	Alps
Alúmanam	Aluminium
An Amasóin	Amazon River
Amadeo Avogadro	Amedeo Avogadro
Cogadh Cathartha SAM	American Civil War
Cogadh Réabhlóideach Mheiriceá	American Revolutionary War
ASCII	American Standard Code for Information Interchange
Peil Mheiriceánach	American football
Aimitis	Amethyst
Amairis	Amharic
Amman	Amman
Amóinia	Ammonia
