Korean	English
1년	1
1	1 (number)
10년	10
10	10 (number)
100년	100
분류:100년	100
100	100 (number)
1000년	1000
분류:1000년	1000
1000	1000 (number)
101년	101
105년	105
11년	11
11	11 (number)
110년	110
115년	115
12년	12
분류:12년	12
12	12 (number)
120년	120
125년	125
13년	13
13	13 (number)
130년	130
135년	135
14년	14
분류:14년	14
14	14 (number)
140년	140
144년	144
145년	145
15년	15
15	15 (number)
150년	150
1530년대	1530s
155년	155
16년	16
분류:16년	16
16	16 (number)
160년	160
165년	165
17년	17
분류:17년	17
17	17 (number)
170년	170
1728년	1728
분류:1728년	1728
175년	175
1750년대	1750s
1760년대	1760s
1770년대	1770s
1780년대	1780s
1790년대	1790s
18년	18
18	18 (number)
180년	180
1820년대	1820s
1830년대	1830s
분류:1830년대	1830s
1840년대	1840s
1850년대	1850s
1860년대	1860s
1870년대	1870s
1880년대	1880s
1890년대	1890s
19년	19
19	19 (number)
190년	190
1900년대	1900s
1920년대	1920s
1930년대	1930s
1940년대	1940s
1950년대	1950s
1960년대	1960s
1970년대	1970s
1980년대	1980s
1990년대	1990s
2년	2
2	2 (number)
20년	20
20	20 (number)
200년	200
21년	21
21	21 (number)
22년	22
22	22 (number)
23년	23
23	23 (number)
24년	24
24 (드라마)	24 (TV series)
24	24 (number)
25년	25
25	25 (number)
26년	26
26	26 (number)
27년	27
27	27 (number)
28년	28
28	28 (number)
29년	29
29	29 (number)
3년	3
3	3 (number)
30년	30
30	30 (number)
300년	300
31년	31
31	31 (number)
32년	32
32	32 (number)
33년	33
33	33 (number)
34년	34
34	34 (number)
35년	35
35	35 (number)
36년	36
36	36 (number)
37년	37
37	37 (number)
38년	38
38	38 (number)
39년	39
39	39 (number)
4년	4
4	4 (number)
40년	40
40	40 (number)
400년	400
41년	41
41	41 (number)
42년	42
42	42 (number)
43년	43
43	43 (number)
44년	44
45년	45
45	45 (number)
46년	46
46	46 (number)
47년	47
48년	48
49년	49
49	49 (number)
5년	5
5	5 (number)
50년	50
50	50 (number)
500년	500
분류:500년	500
51년	51
52년	52
53년	53
54년	54
55년	55
56년	56
57년	57
58년	58
59년	59
6년	6
6	6 (number)
60년	60
60	60 (number)
61년	61
62년	62
63년	63
64년	64
65년	65
66년	66
67년	67
68년	68
69년	69
7년	7
7	7 (number)
70년	70
71년	71
72년	72
73년	73
74년	74
75년	75
76년	76
77년	77
78년	78
79년	79
8년	8
8	8 (number)
80년	80
80	80 (number)
81년	81
82년	82
83년	83
84년	84
85년	85
86년	86
87년	87
88년	88
89년	89
9년	9
9	9 (number)
90년	90
91년	91
92년	92
93년	93
94년	94
95년	95
96년	96
97년	97
98년	98
99년	99
A	A
А	A (Cyrillic)
아카펠라	A cappella
ABC	ABC
에이즈	AIDS
알골 (프로그래밍 언어)	ALGOL
ATP	ATP
AZ	AZ (football club)
아헨	Aachen
올보르	Aalborg
오르후스	Aarhus
수판	Abacus
아빠스	Abbot
아벌 타스만	Abel Tasman
아벨군	Abelian group
아비장	Abidjan
압하스 공화국	Abkhazia
분류:압하스 공화국	Abkhazia
노예 제도 폐지 운동	Abolitionism
낙태	Abortion
아브라함	Abraham
에이브러햄 링컨	Abraham Lincoln
압생트	Absinthe
절대 등급	Absolute magnitude
절대값	Absolute value
절대 영도	Absolute zero
아부다비	Abu Dhabi
아부다비	Abu Dhabi (emirate)
아부자	Abuja
아카시아속	Acacia
아카데미상	Academy Award
아카풀코	Acapulco
가속도	Acceleration
회계	Accountancy
분류:회계	Accountancy
아크라	Accra
아세트알데하이드	Acetaldehyde
아세트산	Acetic acid
아세톤	Acetone
아세틸렌	Acetylene
아킬레우스	Achilles
산 (화학)	Acid
산성비	Acid rain
여드름	Acne vulgaris
아콩카과 산	Aconcagua
도토리	Acorn
음향학	Acoustics
분류:음향학	Acoustics
에이커	Acre
아코	Acre
아크리 주	Acre (state)
악티늄족	Actinide
악티늄	Actinium
배우	Actor
사도행전	Acts of the Apostles
침술	Acupuncture
에이다	Ada (programming language)
애덤 스미스	Adam Smith
아다나	Adana
중독	Addiction
아디스아바바	Addis Ababa
덧셈	Addition
애들레이드	Adelaide
아덴	Aden
아데노신 삼인산	Adenosine triphosphate
형용사	Adjective
아돌프 아이히만	Adolf Eichmann
아돌프 히틀러	Adolf Hitler
아도니스	Adonis
아드리아 해	Adriatic Sea
어른	Adult
대림절	Advent
광고	Advertising
에게 해	Aegean Sea
아이네이아스	Aeneas
아이네이스	Aeneid
공기역학	Aerodynamics
아이스퀼로스	Aeschylus
아이소포스	Aesop
미학	Aesthetics
아프가니스탄	Afghanistan
분류:아프가니스탄	Afghanistan
아프리카	Africa
분류:아프리카	Africa
아프리카계 미국인	African American
아프리칸스어	Afrikaans
아가멤논	Agamemnon
애거서 크리스티	Agatha Christie
무악류	Agnatha
불가지론	Agnosticism
아고라	Agora
광장 공포증	Agoraphobia
아그라	Agra
농업	Agriculture
분류:농업	Agriculture
공군	Air force
에어버스	Airbus
항공기	Aircraft
분류:항공기	Aircraft
항공모함	Aircraft carrier
항공사	Airline
공항	Airport
아이아스	Ajax
Ajax	Ajax (programming)
아크나톤	Akhenaten
구로사와 아키라	Akira Kurosawa
알 카포네	Al Capone
앨 고어	Al Gore
알카에다	Al-Qaeda
앨라배마 주	Alabama
분류:앨라배마 주	Alabama
앨런 튜링	Alan Turing
알라닌	Alanine
알래스카 주	Alaska
분류:알래스카 주	Alaska
알반 베르크	Alban Berg
알바니아	Albania
분류:알바니아	Albania
올버니 (뉴욕 주)	Albany
반사율	Albedo
앨버트 마이켈슨	Albert Abraham Michelson
알베르 카뮈	Albert Camus
알베르트 아인슈타인	Albert Einstein
알베르트 슈바이처	Albert Schweitzer
앨버타 주	Alberta
분류:앨버타 주	Alberta
앨버커키	Albuquerque
연금술	Alchemy
분류:연금술	Alchemy
알코올	Alcohol
술	Alcoholic beverage
알데바란	Aldebaran
알데하이드	Aldehyde
오리나무속	Alder
올더스 헉슬리	Aldous Huxley
알렉산드르 솔제니친	Aleksandr Solzhenitsyn
알레포	Aleppo
알류샨 열도	Aleutian Islands
알렉산더	Alexander
알렉산더 플레밍	Alexander Fleming
알렉산더 그레이엄 벨	Alexander Graham Bell
알렉산더 해밀턴	Alexander Hamilton
알렉산드르 푸시킨	Alexander Pushkin
알렉산드로스 대왕	Alexander the Great
알렉상드르 뒤마	Alexandre Dumas
알렉상드르 뒤마 (아들)	Alexandre Dumas
알렉산드리아	Alexandria
알프레드 드레퓌스	Alfred Dreyfus
앨프리드 히치콕	Alfred Hitchcock
알프레드 노벨	Alfred Nobel
앨프리드 노스 화이트헤드	Alfred North Whitehead
알프레드 월리스	Alfred Russel Wallace
앨프레드 대왕	Alfred the Great
조류 (수생 생물)	Algae
대수학	Algebra
분류:대수학	Algebra
대수적 수	Algebraic number
알제리	Algeria
분류:알제리	Algeria
알제	Algiers
알고리즘	Algorithm
알람브라 궁전	Alhambra
알리 이븐 아비 탈리브	Ali
알칼리 금속	Alkali metal
알케인	Alkane
알라	Allah
알레고리	Allegory
대립형질	Allele
알레르기	Allergy
이음	Allophone
동소체	Allotropy
합금	Alloy
알마티	Almaty
Α	Alpha (letter)
센타우루스자리 알파	Alpha Centauri
알파 입자	Alpha particle
음소 문자	Alphabet
알프스 산맥	Alps
분류:알프스 산맥	Alps
알자스	Alsace
알타이르	Altair
제단	Altar
알타이 산맥	Altay Mountains
교류	Alternating current
분류:대체의학	Alternative medicine
알루미늄	Aluminium
알바르 알토	Alvar Aalto
알츠하이머병	Alzheimer's disease
수선화과	Amaryllidaceae
아마테라스	Amaterasu
아마존 강	Amazon River
호박 (화석)	Amber
암브로시우스	Ambrose
아메데오 아보가드로	Amedeo Avogadro
아메리카들소	American Bison
남북 전쟁	American Civil War
미국 독립 전쟁	American Revolutionary War
아메리칸사모아	American Samoa
아스키 코드	American Standard Code for Information Interchange
미식축구	American football
아메리슘	Americium
아메리고 베스푸치	Amerigo Vespucci
암하라어	Amharic
아미노산	Amino acid
아미시파	Amish
암만	Amman
암모니아	Ammonia
기억 상실	Amnesia
암페어	Ampere
양서류	Amphibian
진폭	Amplitude
암스테르담	Amsterdam
분류:암스테르담	Amsterdam
아문	Amun
아무르 강	Amur
재세례파	Anabaptist
애너그램	Anagram
애너하임	Anaheim
항문 성교	Anal sex
아나키즘	Anarchism
오리과	Anatidae
아나톨 프랑스	Anatole France
분류:해부학	Anatomy
해부학	Anatomy
아낙시만드로스	Anaximander
앵커리지	Anchorage
고대 그리스어	Ancient Greek
분류:고대사	Ancient history
안달루시아 지방	Andalusia
안다만 해	Andaman Sea
안데스 산맥	Andes
안도라	Andorra
분류:안도라	Andorra
앤드루 잭슨	Andrew Jackson
앤드루 존슨	Andrew Johnson
안드로메다 (동음이의)	Andromeda
안드로메다자리	Andromeda (constellation)
안드로메다	Andromeda (mythology)
안드로메다 은하	Andromeda Galaxy
앤디 워홀	Andy Warhol
빈혈	Anemia
안가라 강	Angara River
천사	Angel
각도	Angle
성공회	Anglicanism
앙골라	Angola
분류:앙골라	Angola
앵귈라	Anguilla
각운동량	Angular momentum
각속도	Angular velocity
아닐린	Aniline
동물	Animal
애니메이션	Animation
일본의 애니메이션	Anime
분류:일본의 애니메이션	Anime
애니미즘	Animism
앙카라	Ankara
아나폴리스	Annapolis
안나푸르나	Annapurna
앤 볼린	Anne Boleyn
성모영보	Annunciation
기러기목	Anseriformes
분류:기러기목	Anseriformes
개미	Ant
안타키아	Antakya
안타나나리보	Antananarivo
남극	Antarctica
분류:남극	Antarctica
안타레스	Antares
안테나	Antenna (radio)
탄저병	Anthrax
인류학	Anthropology
분류:인류학	Anthropology
항생제	Antibiotic
항체	Antibody
고기압	Anticyclone
항원	Antigen
앤티가 바부다	Antigua and Barbuda
분류:앤티가 바부다	Antigua and Barbuda
반물질	Antimatter
안티모니	Antimony
대립 교황	Antipope
반유대주의	Antisemitism
공기펌프자리	Antlia
안토파가스타	Antofagasta
앙투안 라부아지에	Antoine Lavoisier
안톤 브루크너	Anton Bruckner
안톤 체호프	Anton Chekhov
안토니오 스트라디바리	Antonio Stradivari
안토니오 비발디	Antonio Vivaldi
안트베르펀	Antwerp
항문	Anus
대동맥	Aorta
인회석	Apatite
유인원	Ape
실어증	Aphasia
잠언	Aphorism
아프로디테	Aphrodite
아피아	Apia
외경	Apocrypha
칼새목	Apodiformes
아폴론	Apollo
아폴로	Apollo (disambiguation)
아폴로 계획	Apollo program
분류:아폴로 계획	Apollo program
아포토시스	Apoptosis
애팔래치아 산맥	Appalachian Mountains
사과	Apple
응용수학	Applied mathematics
4월	April
4월 14일	April 14
만우절	April Fools' Day
풀리아 주	Apulia
극락조자리	Apus
왕수	Aqua regia
물병자리	Aquarius (constellation)
독수리자리	Aquila (constellation)
아키텐	Aquitaine
제단자리	Ara (constellation)
아랍인	Arab
아라비아 반도	Arabian Peninsula
아라비아 해	Arabian Sea
아랍 문자	Arabic alphabet
아랍어	Arabic language
아라푸라 해	Arafura Sea
아라곤 지방	Aragon
아랄 해	Aral Sea
아람 하차투리안	Aram Khachaturian
아치	Arch
고고학	Archaeology
분류:고고학	Archaeology
시조새	Archaeopteryx
대천사	Archangel
대주교	Archbishop
아르키메데스	Archimedes
군도	Archipelago
건축학	Architecture
분류:건축학	Architecture
조룡류	Archosaur
북극	Arctic
북극해	Arctic Ocean
아르	Are
넓이	Area
아레스	Ares
아르헨티나	Argentina
분류:아르헨티나	Argentina
아르곤	Argon
아르고스	Argos
아리아	Aria
아리아드네	Ariadne
아리우스주의	Arianism
양자리	Aries (constellation)
아리스토파네스	Aristophanes
아리스토텔레스	Aristotle
산술	Arithmetic
분류:산술	Arithmetic
등차수열	Arithmetic progression
아리우스	Arius
애리조나 주	Arizona
분류:애리조나 주	Arizona
언약궤	Ark of the Covenant
아칸소 주	Arkansas
분류:아칸소 주	Arkansas
아르메니아	Armenia
분류:아르메니아	Armenia
아르메니아어	Armenian language
갑옷	Armour
육군	Army
아르놀트 쇤베르크	Arnold Schoenberg
방향족 탄화수소	Aromatic hydrocarbon
조총	Arquebus
화살	Arrow
비소	Arsenic
예술	Art
아르누보	Art Nouveau
분류:예술의 역사	Art history
아르테미스	Artemis
동맥	Artery
절지동물	Arthropod
아서 코난 도일	Arthur Conan Doyle
아서 밀러	Arthur Miller
장 아르튀르 랭보	Arthur Rimbaud
아르투르 쇼펜하우어	Arthur Schopenhauer
아서 웰즐리	Arthur Wellesley
인공지능	Artificial intelligence
분류:인공지능	Artificial intelligence
대포	Artillery
분류:대포	Artillery
미술가	Artist
분류:예술	Arts
아르투로 토스카니니	Arturo Toscanini
아루바	Aruba
분류:아루바	Aruba
석면	Asbestos
아스클레피오스	Asclepius
아스가르드	Asgard
재의 수요일	Ash Wednesday
아슈르바니팔	Ashurbanipal
아시아	Asia
분류:아시아	Asia
아스마라	Asmara
아스파탐	Aspartame
아스피린	Aspirin
아삼 주	Assam
암살	Assassination
어셈블리어	Assembly language
동남아시아 국가연합	Association of Southeast Asian Nations
아시리아	Assyria
분류:아시리아	Assyria
아스타나	Astana
아스타틴	Astatine
국화과	Asteraceae
분류:국화과	Asteraceae
소행성	Asteroid
소행성대	Asteroid belt
연약권	Asthenosphere
천식	Asthma
아스트라한	Astrakhan
점성술	Astrology
분류:점성술	Astrology
우주비행사	Astronaut
천문학자	Astronomer
천문 단위	Astronomical unit
천문학	Astronomy
분류:천문학	Astronomy
천체물리학	Astrophysics
분류:천체물리학	Astrophysics
아스완	Aswan
비동기 전송 방식	Asynchronous Transfer Mode
분류:무신론	Atheism
아테나	Athena
아테네	Athens
분류:육상 경기	Athletics
육상 경기	Athletics (track and field)
애틀랜타	Atlanta
대서양	Atlantic Ocean
분류:대서양	Atlantic Ocean
아틀라스 (신화)	Atlas (mythology)
아틀라스 산맥	Atlas Mountains
대기	Atmosphere
기압	Atmosphere (unit)
대기압	Atmospheric pressure
원자	Atom
원자 질량	Atomic mass
원자 질량 단위	Atomic mass unit
원자 번호	Atomic number
분류:원자물리학	Atomic physics
아트로핀	Atropine
아티키 지역	Attica
아틸라	Attila the Hun
AU	Au
오클랜드 (뉴질랜드)	Auckland
경매	Auction
8월	August
8월 1일	August 1
8월 15일	August 15
8월 6일	August 6
아우구스트 스트린드베리	August Strindberg
오거스타 (메인 주)	Augusta
오귀스트 콩트	Auguste Comte
오귀스트 로댕	Auguste Rodin
히포의 아우구스티누스	Augustine of Hippo
아우구스투스	Augustus
마차부자리	Auriga (constellation)
오로라 (동음이의)	Aurora
