Latin	English
1	1
Unus	1 (number)
10	10
Decem	10 (number)
100	100
Centum	100 (number)
1000	1000
Mille	1000 (number)
101	101
105	105
11	11
Undecim	11 (number)
110	110
115	115
12	12
Duodecim	12 (number)
120	120
125	125
13	13
Tredecim	13 (number)
130	130
135	135
14	14
Quattuordecim	14 (number)
140	140
144	144
145	145
15	15
Quindecim	15 (number)
150	150
Decennium 154	1530s
155	155
16	16
Sedecim	16 (number)
160	160
165	165
17	17
Septendecim	17 (number)
170	170
1728	1728
175	175
Decennium 176	1750s
Decennium 177	1760s
Decennium 178	1770s
Decennium 179	1780s
Decennium 180	1790s
18	18
Duodeviginti	18 (number)
180	180
Decennium 183	1820s
Decennium 184	1830s
Decennium 185	1840s
Decennium 186	1850s
Decennium 187	1860s
Decennium 188	1870s
Decennium 189	1880s
Decennium 190	1890s
19	19
Undeviginti	19 (number)
190	190
Decennium 191	1900s
Decennium 193	1920s
Decennium 194	1930s
Decennium 195	1940s
Decennium 196	1950s
Decennium 197	1960s
Decennium 198	1970s
Decennium 199	1980s
Decennium 200	1990s
2	2
Duo	2 (number)
20	20
Viginti	20 (number)
200	200
21	21
Viginti unus	21 (number)
22	22
Viginti duo	22 (number)
23	23
Viginti tres	23 (number)
24	24
Viginti quattuor	24 (number)
25	25
Viginti quinque	25 (number)
26	26
Viginti sex	26 (number)
27	27
Viginti septem	27 (number)
28	28
Duodetriginta	28 (number)
29	29
Undetriginta	29 (number)
3	3
Tres	3 (number)
30	30
Triginta	30 (number)
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
Quattuor	4 (number)
40	40
400	400
41	41
42	42
Quadraginta et duo	42 (number)
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
Quinque	5 (number)
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
Sex	6 (number)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
Septem	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
Octo	8 (number)
80	80
Octoginta	80 (number)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
Novem	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
ABC	ABC
SCDI	AIDS
Aquisgranum	Aachen
Abrinca (flumen)	Aar
Aarhusium	Aarhus
Abacus	Abacus
Abbas	Abbot
Abbreviatio	Abbreviation
Abel Tasman	Abel Tasman
Aberdonia	Aberdeen
Abasci	Abkhazia
Abortus	Abortion
Abraham	Abraham
Abrahamus Lincoln	Abraham Lincoln
Magnitudo absoluta	Absolute value
Abugia	Abuja
Acacia	Acacia
Praemia Academiae	Academy Award
Acceleratio	Acceleration
Accipitridae	Accipitridae
Harmonica diductilis	Accordion
Accra	Accra
Accusativus	Accusative case
Ethanal	Acetaldehyde
