Lithuanian	English
0 (skaičius)	0 (number)
1 m.	1
1 (skaičius)	1 (number)
10 m.	10
10 (skaičius)	10 (number)
100 (skaičius)	100 (number)
11 m.	11
11 (skaičius)	11 (number)
12 (skaičius)	12 (number)
13 (skaičius)	13 (number)
14 (skaičius)	14 (number)
15 (skaičius)	15 (number)
XVI amžiaus 4-as dešimtmetis	1530s
16 (skaičius)	16 (number)
17 (skaičius)	17 (number)
1728 m.	1728
XVIII amžiaus 6-as dešimtmetis	1750s
XVIII amžiaus 7-as dešimtmetis	1760s
XVIII amžiaus 8-as dešimtmetis	1770s
XVIII amžiaus 9-as dešimtmetis	1780s
XVIII amžiaus 10-as dešimtmetis	1790s
18 (skaičius)	18 (number)
XIX amžiaus 3-as dešimtmetis	1820s
XIX amžiaus 4-as dešimtmetis	1830s
XIX amžiaus 5-as dešimtmetis	1840s
XIX amžiaus 6-as dešimtmetis	1850s
XIX amžiaus 7-as dešimtmetis	1860s
XIX amžiaus 8-as dešimtmetis	1870s
XIX amžiaus 9-as dešimtmetis	1880s
XIX amžiaus 10-as dešimtmetis	1890s
19 (skaičius)	19 (number)
XX amžiaus 1-as dešimtmetis	1900s
XX amžiaus 3-as dešimtmetis	1920s
XX amžiaus 4-as dešimtmetis	1930s
XX amžiaus 5-as dešimtmetis	1940s
XX amžiaus 6-as dešimtmetis	1950s
XX amžiaus 7-as dešimtmetis	1960s
XX amžiaus 8-as dešimtmetis	1970s
XX amžiaus 9-as dešimtmetis	1980s
XX amžiaus 10-as dešimtmetis	1990s
2 m.	2
2 (skaičius)	2 (number)
20 (skaičius)	20 (number)
21 (skaičius)	21 (number)
22 (skaičius)	22 (number)
23 (skaičius)	23 (number)
24 valandos	24 (TV series)
24 (skaičius)	24 (number)
25 (skaičius)	25 (number)
26 (skaičius)	26 (number)
27 (skaičius)	27 (number)
28 (skaičius)	28 (number)
29 (skaičius)	29 (number)
3 m.	3
3 (skaičius)	3 (number)
30 (skaičius)	30 (number)
31 (skaičius)	31 (number)
32 (skaičius)	32 (number)
33 m.	33
33 (skaičius)	33 (number)
34 (skaičius)	34 (number)
35 (skaičius)	35 (number)
36 (skaičius)	36 (number)
37 (skaičius)	37 (number)
38 (skaičius)	38 (number)
39 (skaičius)	39 (number)
4 m.	4
4 (skaičius)	4 (number)
40 (skaičius)	40 (number)
41 (skaičius)	41 (number)
42 (skaičius)	42 (number)
43 (skaičius)	43 (number)
45 (skaičius)	45 (number)
46 (skaičius)	46 (number)
49 (skaičius)	49 (number)
5 m.	5
5 (skaičius)	5 (number)
50 (skaičius)	50 (number)
6 m.	6
6 (skaičius)	6 (number)
60 (skaičius)	60 (number)
7 m.	7
7 (skaičius)	7 (number)
8 m.	8
8 (skaičius)	8 (number)
80 (skaičius)	80 (number)
88 m.	88
9 m.	9
9 (skaičius)	9 (number)
A	A
AIDS	AIDS
AZ Alkmaar	AZ (football club)
Achenas	Aachen
Olborgas	Aalborg
Arė	Aar
Orhusas	Aarhus
Abakas	Abacus
Abadanas	Abadan
Abatas	Abbot
Pilvelis	Abdomen
Abelis Tasmanas	Abel Tasman
Aberdynas	Aberdeen
Abidžanas	Abidjan
Abchazija	Abkhazia
Abortas	Abortion
Abraomas	Abraham
Abraham Lincoln	Abraham Lincoln
Absentas	Absinthe
Absoliutinis ryškis	Absolute magnitude
Absoliutusis nulis	Absolute zero
Abstrakcionizmas	Abstract art
Abstraktusis ekspresionizmas	Abstract expressionism
Abu Dabis	Abu Dhabi
Abu Dabis	Abu Dhabi (emirate)
Abudža	Abuja
Akacija	Acacia
Oskaras	Academy Award
Pagreitis	Acceleration
Vanaginiai	Accipitridae
Akordeonas	Accordion
Apskaita	Accountancy
Kategorija:Apskaita	Accountancy
Akra	Accra
Acto rūgštis	Acetic acid
Acetonas	Acetone
Acetilcholinas	Acetylcholine
Acetilenas	Acetylene
Acheronas	Acheron
Paprastoji kraujažolė	Achillea millefolium
Achilas	Achilles
Rūgštis	Acid
Rūgštusis lietus	Acid rain
Spuogas	Acne vulgaris
Akonkagva	Aconcagua
Gilė	Acorn
Kategorija:Akustika	Acoustics
Akrė	Acre (state)
Akropolis	Acropolis
Aktinoidai	Actinide
Aktinis	Actinium
Aktorius	Actor
Apaštalų darbai	Acts of the Apostles
Akupunktūra	Acupuncture
Argumentas prieš žmogų	Ad hominem
Adam Smith	Adam Smith
Adana	Adana
Baobabas	Adansonia
Priklausomybė	Addiction
Adis Abeba	Addis Ababa
Sudėtis	Addition
Adelaidė	Adelaide
Adenas	Aden
Adeninas	Adenine
ATP	Adenosine triphosphate
Adidžė	Adige
Būdvardis	Adjective
Adolfas Hitleris	Adolf Hitler
Adonis (mitologija)	Adonis
Įvaikinimas	Adoption
Antinkstis	Adrenal gland
Adrijos jūra	Adriatic Sea
Adsorbcija	Adsorption
Adventas	Advent
Reklama	Advertising
Egėjo jūra	Aegean Sea
Enėjas	Aeneas
Eolas	Aeolus
Aischilas	Aeschylus
Ezopas	Aesop
Estetika	Aesthetics
Afganistanas	Afghanistan
Kategorija:Afganistanas	Afghanistan
Afrika	Africa
Kategorija:Afrika	Africa
Afrikanų kalba	Afrikaans
Agamemnonas	Agamemnon
Agatas	Agate
Agatha Christie	Agatha Christie
Agresija	Aggression
Bežandžiai	Agnatha
Agnosticizmas	Agnosticism
Agorafobija	Agoraphobia
Agra	Agra
Žemės ūkis	Agriculture
Agridžentas	Agrigento
Aikido	Aikido
Enas	Ain
Karinės oro pajėgos	Air force
Airbus	Airbus
Orlaivis	Aircraft
Lėktuvnešis	Aircraft carrier
Oro linijų bendrovė	Airline
Oro uostas	Airport
Ajax (reikšmės)	Ajax
Ajaksas	Ajax (mythology)
AJAX	Ajax (programming)
Echnatonas	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Kaponė	Al Capone
Al-Qaeda	Al-Qaeda
Alabama	Alabama
Alan Turing	Alan Turing
Alaninas	Alanine
Aliaska	Alaska
Albanija	Albania
Kategorija:Albanija	Albania
Albatrosiniai	Albatross
Albedas	Albedo
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Alberta	Alberta
Albinizmas	Albinism
Albitas	Albite
Albumas	Album
Albukerkė	Albuquerque
Alchemija	Alchemy
Alkoholis	Alcohol
Alkoholinis gėrimas	Alcoholic beverage
Alkoholizmas	Alcoholism
Aldebaranas	Aldebaran
Alksnis	Alder
Aldous Huxley	Aldous Huxley
Aleksandras Solženicynas	Aleksandr Solzhenitsyn
Alepas	Aleppo
Aleutų salos	Aleutian Islands
Aleksandras	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Aleksandras Puškinas	Alexander Pushkin
Aleksandras Didysis	Alexander the Great
Alexandre Dumas (tėvas)	Alexandre Dumas
Aleksandrija	Alexandria
Alfred Hitchcock	Alfred Hitchcock
Alfredas Nobelis	Alfred Nobel
Alfred Russel Wallace	Alfred Russel Wallace
Dumbliai	Algae
Algebra	Algebra
Kategorija:Algebra	Algebra
Alžyras	Algeria
Kategorija:Alžyras	Algeria
Alžyras (miestas)	Algiers
Algoritmas	Algorithm
Šarminiai metalai	Alkali metal
Alkaloidas	Alkaloid
Alkanas	Alkane
Alkenas	Alkene
Alachas	Allah
Alegorija	Allegory
Allen Ginsberg	Allen Ginsberg
Alergija	Allergy
Alozauras	Allosaurus
Lydinys	Alloy
Almanachas	Almanac
Almata	Almaty
Migdolas	Almond
Alavijas	Aloe
Alfa (raidė)	Alpha (letter)
Kentauro alfa	Alpha Centauri
Alfa dalelė	Alpha particle
Abėcėlė	Alphabet
Alpės	Alps
Elzasas	Alsace
Altayras	Altair
Aukuras	Altar
Altajaus kalnai	Altay Mountains
Kintamoji elektros srovė	Alternating current
Altruizmas	Altruism
Aliuminis	Aluminium
Alvar Aalto	Alvar Aalto
Alzheimerio liga	Alzheimer's disease
Paprastoji musmirė	Amanita muscaria
Žalsvoji musmirė	Amanita phalloides
Amariliniai	Amaryllidaceae
Amazonė (upė)	Amazon River
Ambasadorius	Ambassador
Gintaras	Amber
Amadeo Avogadro	Amedeo Avogadro
Bizonas	American Bison
Juodasis lokys	American Black Bear
JAV pilietinis karas	American Civil War
Amerikos Samoa	American Samoa
ASCII	American Standard Code for Information Interchange
Amerikietiškasis futbolas	American football
Americis	Americium
Amerigas Vespučis	Amerigo Vespucci
Ametistas	Amethyst
Amharų kalba	Amharic
Amidai	Amide
Aminorūgštis	Amino acid
Amišai	Amish
Amanas	Amman
Ampermetras	Ammeter
Amoniakas	Ammonia
Amperas	Ampere
Amfetaminas	Amphetamine
Varliagyviai	Amphibian
Amfiteatras	Amphitheatre
Amfora	Amphora
Amplitudė	Amplitude
Amsterdamas	Amsterdam
Amonas	Amun
Amūras (upė)	Amur
Anabaptistai	Anabaptist
Anagrama	Anagram
Analinis seksas	Anal sex
Anarchizmas	Anarchism
Kategorija:Anarchizmas	Anarchism
Anarchija	Anarchy
Antiniai	Anatidae
Kategorija:Anatomija	Anatomy
Anatomija	Anatomy
Anaksagoras	Anaxagoras
Inkaras	Anchor
Ankoridžas	Anchorage
Senovės graikų kalba	Ancient Greek
Andalūzija	Andalusia
Andamanų jūra	Andaman Sea
Andersas Celsijus	Anders Celsius
Andai	Andes
Andhra Pradešas	Andhra Pradesh
Andora	Andorra
Andrejus Sacharovas	Andrei Sakharov
Andrejus Tarkovskis	Andrei Tarkovsky
Andrew Lloyd Webber	Andrew Lloyd Webber
Andromeda	Andromeda
Andromeda (astronomija)	Andromeda (constellation)
Andromeda (mitologija)	Andromeda (mythology)
Andromedos galaktika	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anemija	Anemia
Anemometras	Anemometer
Angara	Angara River
Angelas	Angel
Anchelio krioklys	Angel Falls
Kampas	Angle
Anglikonų bažnyčia	Anglicanism
Angola	Angola
Kategorija:Angola	Angola
Angilija	Anguilla
Judesio kiekio momentas	Angular momentum
Boetijus	Anicius Manlius Severinus Boethius
Gyvūnai	Animal
Gyvulininkystė	Animal husbandry
Multiplikacija	Animation
Anime	Anime
Kategorija:Anime	Anime
Animizmas	Animism
Anyžinė ožiažolė	Anise
Ankara	Ankara
Anapurna	Annapurna
Žieduotosios kirmėlės	Annelid
Anodas	Anode
Žąsiniai paukščiai	Anseriformes
Skruzdėlės	Ant
Antakija	Antakya
Antalija	Antalya
Antananaryvas	Antananarivo
Antarktida	Antarctica
Kategorija:Antarktida	Antarctica
Antaris	Antares
Antena (radijas)	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Antropologija	Anthropology
Kategorija:Antropologija	Anthropology
Antibiotikas	Antibiotic
Antikūnas	Antibody
Antigenas	Antigen
Antigva ir Barbuda	Antigua and Barbuda
Kategorija:Antigva ir Barbuda	Antigua and Barbuda
Antimedžiaga	Antimatter
Stibis	Antimony
Antipopiežius	Antipope
Antisemitizmas	Antisemitism
Siurblys (astronomija)	Antlia
Antoine Lavoisier	Antoine Lavoisier
Antonas Čechovas	Anton Chekhov
Antonijus Stradivarijus	Antonio Stradivari
Antonijus Vivaldis	Antonio Vivaldi
Antonimas	Antonym
Antverpenas	Antwerp
Anubis	Anubis
Išangė	Anus
Aorta	Aorta
Apačai	Apache
Apatitas	Apatite
Žmogbeždžionės	Ape
Aforizmas	Aphorism
Afroditė	Aphrodite
Apija	Apia
Salieriniai	Apiaceae
Apokrifas	Apocrypha
Čiurliniai paukščiai	Apodiformes
Apolonas	Apollo
Apoptozė	Apoptosis
Apalačai	Appalachian Mountains
Apendicitas	Appendicitis
