Maltese	English
Category:1750s	1750s
Category:1760s	1760s
Category:1770s	1770s
Category:1790s	1790s
Category:1820s	1820s
Category:1830s	1830s
Category:1840s	1840s
Category:1860s	1860s
Category:1870s	1870s
Category:1880s	1880s
Category:1890s	1890s
Category:1900s	1900s
Category:1920s	1920s
Category:1930s	1930s
Category:1940s	1940s
Category:1950s	1950s
Category:1960s	1960s
Category:1970s	1970s
Category:1980s	1980s
Category:1990s	1990s
60	60
AIDS	AIDS
Orikteropu	Aardvark
Akille	Achilles
Atti ta' l-Appostli	Acts of the Apostles
Adolf Hitler	Adolf Hitler
Baħar Eġew	Aegean Sea
Enea	Aeneas
Enejide	Aeneid
Affiss	Affix
Afrika	Africa
Category:Agrikoltura	Agriculture
Alan Turing	Alan Turing
Albanija	Albania
Alkoħoliżmu	Alcoholism
Alla	Allah
Alfabett	Alphabet
Gwerra Ċivili Amerikana	American Civil War
Andorra	Andorra
Andrea Palladio	Andrea Palladio
WK	Anno Domini
Antropoloġija	Anthropology
Category:Antropoloġija	Anthropology
Apollo (divinità)	Apollo
April	April
Category:Arkeoloġija	Archaeology
Arkimede	Archimedes
Category:Arkitettura	Architecture
Aristotile	Aristotle
Asja	Asia
Asterojde	Asteroid
Astroloġija	Astrology
Astronomija	Astronomy
Category:Astronomija	Astronomy
Category:Ateiżmu	Atheism
Oċean Atlantiku	Atlantic Ocean
Awissu	August
Santu Wistin	Augustine of Hippo
Awstralja	Australia
Awstrija	Austria
Baskitbol	Basketball
Belfast	Belfast
Belġju	Belgium
Belgrad	Belgrade
Berlin	Berlin
Bibbja	Bible
Bill Gates	Bill Gates
Bijoloġija	Biology
Category:Bioloġija	Biology
Bit	Bit
Iswed	Black
Pesta s-Sewda	Black Death
Toqba sewda	Black hole
Blogg	Blog
Demm	Blood
Ikħal	Blue
Dgħajsa	Boat
Bolonja	Bologna
Bolzano	Bolzano
Category:Botanika	Botany
Brendi	Brandy
Bratislava	Bratislava
Imperu Brittanniku	British Empire
Buddiżmu	Buddhism
Category:Buddiżmu	Buddhism
Bulgarija	Bulgaria
Kalligrafija	Calligraphy
Belt Kapitali	Capital
Michelangelo Merisi da Caravaggio	Caravaggio
Karbonju	Carbon
Kartaġiniżi	Carthage
Casablanca	Casablanca
Qattus	Cat
Sfera ċelesti	Celestial sphere
Element Kimiku	Chemical element
Kimika	Chemistry
Category:Kimika	Chemistry
Portal:Kimika	Chemistry
Tifel	Child
Kolera	Cholera
Kristjaneżmu	Christianity
Category:Kristjaneżmu	Christianity
Kristofru Kolombu	Christopher Columbus
Mekkanika Klassika	Classical mechanics
Claudio Monteverdi	Claudio Monteverdi
Kometa	Comet
Kompożitur	Composer
Kompjuter	Computer
Kostellazzjoni	Constellation
Cork	Cork (city)
Kroazja	Croatia
Kultura	Culture
Curitiba	Curitiba
Ċipru	Cyprus
Repubblika Ċeka	Czech Republic
Dante Alighieri	Dante Alighieri
Mewt	Death
Diċembru	December
Demenzja	Dementia
Danimarka	Denmark
Ekwazzjonijiet Differenzjali	Differential equation
Category:Diżambigwazzjoni	Disambiguation
Dominju	Domain (biology)
Dublin	Dublin
Dugongu	Dugong
Art	Earth
Eklissi	Eclipse
Category:Ekoloġija	Ecology
Category:Elettriċità	Electricity
