Piedmontese	English
Abidjan	Abidjan
Abraham Lincoln	Abraham Lincoln
Abu Dhabi	Abu Dhabi
Premi Oscar	Academy Award
Accra	Accra
Acre	Acre (state)
Addis Abeba	Addis Ababa
Adolf Hitler	Adolf Hitler
Afgànistan	Afghanistan
Categorìa:Afgànistan	Afghanistan
Àfrica	Africa
Categorìa:Àfrica	Africa
Agatha Christie	Agatha Christie
Agra (India)	Agra
Agrigent	Agrigento
Al Capone	Al Capone
Alabama	Alabama
Alan Turing	Alan Turing
Alasca	Alaska
Albanìa	Albania
Categorìa:Albanìa	Albania
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Alberta	Alberta
Alexandre Dumas (pare)	Alexandre Dumas
Alexandre Dumas (fieul)	Alexandre Dumas
Alfred North Whitehead	Alfred North Whitehead
Àlgebra	Algebra
Algerìa	Algeria
Categorìa:Algerìa	Algeria
Algeri	Algiers
Parafin-a	Alkane
Alsassia	Alsace
Amedeo Avogadro	Amedeo Avogadro
Amman	Amman
Àmsterdam	Amsterdam
Anatole France	Anatole France
Categorìa:Anatomìa	Anatomy
Anchorage	Anchorage
Andalusìa	Andalusia
Andorra	Andorra
Categorìa:Andorra	Andorra
Angòla	Angola
Categorìa:Angòla	Angola
Anguilla	Anguilla
Ankara	Ankara
Annapolis	Annapolis
Antananarivo	Antananarivo
Antàrtide	Antarctica
Categorìa:Antropologìa	Anthropology
Antigua e Barbuda	Antigua and Barbuda
Categorìa:Antigua e Barbuda	Antigua and Barbuda
Apia	Apia
Pulia	Apulia
Aquitania	Aquitaine
Aragon-a	Aragon
Categorìa:Archeologìa	Archaeology
Archimede	Archimedes
Categorìa:Architetura	Architecture
Argentin-a	Argentina
Categorìa:Argentin-a	Argentina
Aristarch ëd Samo	Aristarchus of Samos
Aristòtil	Aristotle
Arison-a	Arizona
Arkansas	Arkansas
Armenia	Armenia
Arthur Conan Doyle	Arthur Conan Doyle
Aruba	Aruba
Categorìa:Aruba	Aruba
Asia	Asia
Categorìa:Asia	Asia
Asmara	Asmara
Astana	Astana
Unità Astronòmica	Astronomical unit
Categorìa:Astronomìa	Astronomy
Atene	Athens
Océan Atlàntich	Atlantic Ocean
Agustin d'Ipon-a	Augustine of Hippo
Australia	Australia
Categorìa:Australia	Australia
Àustria	Austria
Alvernia	Auvergne (region)
Averoé	Averroes
Azerbaigian	Azerbaijan
Categorìa:Azerbaigian	Azerbaijan
Baghdad	Baghdad
Categorìa:Bahamas	Bahamas
Bahrain	Bahrain
Bassa Califòrnia	Baja California
Baku	Baku
Ìsole Balear	Balearic Islands
Bamako	Bamako
Bangkok	Bangkok
Bangladesh	Bangladesh
Categorìa:Bangladesh	Bangladesh
Bangui	Bangui
Banjul	Banjul
Barbados	Barbados
Categorìa:Barbados	Barbados
Bari	Bari
Basilicà	Basilicata
Bassa Normandìa	Basse-Normandie
Basseterre	Basseterre
Baviera	Bavaria
Pechin	Beijing
Beirut	Beirut
Bielorussia	Belarus
Belfast	Belfast
Belgi	Belgium
Belgrad	Belgrade
Belize	Belize
Categorìa:Belize	Belize
Bèngasi	Benghazi
Benin	Benin
Categorìa:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Disraeli	Benjamin Disraeli
Berlin	Berlin
Berna	Berne
Bertrand Russell	Bertrand Russell
Bhutan	Bhutan
Bishkek	Bishkek
Bissau	Bissau
Turdus merula	Blackbird
Blaise Pascal	Blaise Pascal
Bloemfontein	Bloemfontein
Boletus edulis	Boletus edulis
Bolivia	Bolivia
Categorìa:Bolivia	Bolivia
Bològna	Bologna
Bolsan	Bolzano
Bordò	Bordeaux
Bòsnia e Erzegòvina	Bosnia and Herzegovina
Stamp:Trigomiro	Bot
Botswana	Botswana
Categorìa:Botswana	Botswana
Borgògna	Bourgogne
Brandeborgh	Brandenburg
Bratislava	Bratislava
Brasil	Brazil
Brazzaville	Brazzaville
Brema (Land)	Bremen (state)
Bressia	Brescia
Brëtagna	Bretagne
Bridgetown	Bridgetown
Brìndisi	Brindisi
Columbia Britànica	British Columbia
Ìsole britàniche	British Isles
Età dël bronz	Bronze Age
Brunei	Brunei
Brussel	Brussels
Bùcarest	Bucharest
Buckingham Palace	Buckingham Palace
Bùdapest	Budapest
Buenos Aires	Buenos Aires
Bujumbura	Bujumbura
Bulgarìa	Bulgaria
Burkina Faso	Burkina Faso
Categorìa:Burkina Faso	Burkina Faso
Myanmar	Burma
Categorìa:Burundi	Burundi
Buster Keaton	Buster Keaton
Ël Càiro	Cairo
Calabria	Calabria
Califòrnia	California
Cambògia	Cambodia
Categorìa:Cambògia	Cambodia
Cameron	Cameroon
Categorìa:Cameron	Cameroon
Campania	Campania
Canadà	Canada
Categorìa:Canadà	Canada
Ìsole Canarie	Canary Islands
Canberra	Canberra
Sità dël Cap	Cape Town
Cap Verd	Cape Verde
Caracas	Caracas
Cardiff	Cardiff
Prodot cartesian	Cartesian product
Casablanca	Casablanca
Castries	Castries
Catalògna (comunità autònoma)	Catalonia
Cajen-a	Cayenne
Repùblica Centrafrican-a	Central African Republic
Categorìa:América central	Central America
Ciad	Chad
Champagne-Ardënne	Champagne-Ardenne
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Element chìmich	Chemical element
Chihuahua (stat federal)	Chihuahua
Cile	Chile
Categorìa:Cile	Chile
Christiaan Huygens	Christiaan Huygens
Cristianésim	Christianity
Colombia	Colombia
Categorìa:Colombia	Colombia
Colombo (Sri Lanka)	Colombo
Colorado	Colorado
Colossé	Colosseum
Comòre	Comoros
Anformàtica	Computer science
Conakry	Conakry
Connecticut	Connecticut
Copenàghen	Copenhagen
Còrsica	Corsica
Còsta Rica	Costa Rica
Categorìa:Còsta Rica	Costa Rica
Cotonou	Cotonou
Cremon-a	Cremona
Croassia	Croatia
Cuba	Cuba
Categorìa:Cuba	Cuba
Curitiba	Curitiba
Sibernética	Cybernetics
Cipro	Cyprus
Categorìa:Cipro	Cyprus
Repùblica Ceca	Czech Republic
DNA	DNA
Dakar	Dakar
Damasco	Damascus
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Dante Alighieri	Dante Alighieri
Dar es Salaam	Dar es Salaam
David Hilbert	David Hilbert
Delaware	Delaware
Repùblica Democràtica dël Còngo	Democratic Republic of the Congo
Demòcrit	Democritus
Danimarca	Denmark
Categorìa:Danimarca	Denmark
Erasm da Rotterdam	Desiderius Erasmus
Dacca	Dhaka
Dhaulagiri	Dhaulagiri
Dialèt	Dialect
Dian-a Frances Spencer	Diana
Categorìa:Djibouti	Djibouti
