Sicilian	English
Deci	10 (number)
1000	1000
Dùdici	12 (number)
Trìdici	13 (number)
Quattòrdici	14 (number)
Quìnnici	15 (number)
1530ini	1530s
Dicissetti	17 (number)
1728	1728
1750ini	1750s
1760ini	1760s
1770ini	1770s
1780ini	1780s
1790ini	1790s
Dicidottu	18 (number)
1820ini	1820s
1830ini	1830s
1840ini	1840s
1850ini	1850s
1860ini	1860s
1870ini	1870s
1880ini	1880s
1890ini	1890s
Dicinnovi	19 (number)
190	190
1900ini	1900s
1920ini	1920s
1930ini	1930s
1940ini	1940s
1950ini	1950s
1960ini	1960s
1970ini	1970s
1980ini	1980s
1990ini	1990s
Dui	2 (number)
300	300
37	37
Quattru	4 (number)
400	400
41	41
Cincu	5 (number)
54	54
Setti	7 (number)
Ottu	8 (number)
Ottanta	80 (number)
Novi	9 (number)
A	A
AIDS	AIDS
Aquisgrana	Aachen
Orycteropus afer	Aardvark
Badduttuleri	Abacus
Abraham Lincoln	Abraham Lincoln
Magnitùdini assuluta	Absolute magnitude
Accilirazzioni	Acceleration
Fisarmònica	Accordion
Acitalena	Acetylene
Achilli	Achilles
Àcitu	Acid
Agghiànnara	Acorn
Acròpuli	Acropolis
Attiniu	Actinium
Atti di l'Apòstuli	Acts of the Apostles
Addamu (primu omu)	Adam
Adam Smith	Adam Smith
Divotu (idiali)	Addiction
Aggittivi	Adjective
Ammiragghiu	Admiral
Adolf Hitler	Adolf Hitler
Mari Adriàticu	Adriatic Sea
Granni	Adult
Pubbricitati	Advertising
Mari Eggeu	Aegean Sea
Enea (iroi)	Aeneas
Eneidi	Aeneid
Eschilu	Aeschylus
Estètica	Aesthetics
Afganistàn	Afghanistan
Àfrica	Africa
Catigurìa:Africa	Africa
Afrikaans	Afrikaans
Agatha Christie	Agatha Christie
Aggrissioni	Aggression
Agnosticismu	Agnosticism
Agricultura	Agriculture
Catigurìa:Agricultura	Agriculture
Girgenti (AG)	Agrigento
Ariuportu	Airport
Albert Gore	Al Gore
Al-Qaida	Al-Qaeda
Alabama	Alabama
Alan Turing	Alan Turing
Alaska	Alaska
Albanìa	Albania
Catigurìa:Albanìa	Albania
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Alcool	Alcohol
Aleppu	Aleppo
Alexander Pushkin	Alexander Pushkin
Lissandru lu Granni	Alexander the Great
Alexandre Dumas patri	Alexandre Dumas
Alessandria d'Eggittu	Alexandria
Alfred Nobel	Alfred Nobel
Àlica	Algae
Àlgibbra	Algebra
Algirìa	Algeria
Algeri	Algiers
Allah	Allah
Alma Ata	Almaty
Alfabbetu	Alphabet
Alpi	Alps
Artaru	Altar
Alluminiu	Aluminium
Ciumi di l'Amazzoni	Amazon River
Guerra civili miricana	American Civil War
