Slovenian	English
1	1
1 (število)	1 (number)
10	10
10 (število)	10 (number)
100	100
Kategorija:Leto 100	100
100 (število)	100 (number)
1000	1000
Kategorija:Leto 1000	1000
1000 (število)	1000 (number)
101	101
105	105
11	11
11 (število)	11 (number)
110	110
115	115
12	12
Kategorija:Leto 12	12
12 (število)	12 (number)
120	120
125	125
13	13
13 (število)	13 (number)
130	130
135	135
14	14
Kategorija:Leto 14	14
14 (število)	14 (number)
140	140
144	144
145	145
15	15
15 (število)	15 (number)
150	150
1530.	1530s
155	155
16	16
Kategorija:Leto 16	16
16 (število)	16 (number)
160	160
165	165
17	17
Kategorija:Leto 17	17
17 (število)	17 (number)
170	170
1728	1728
Kategorija:Leto 1728	1728
175	175
1750.	1750s
1760.	1760s
1770.	1770s
1780.	1780s
1790.	1790s
18	18
18 (število)	18 (number)
180	180
1820.	1820s
1830.	1830s
1840.	1840s
1850.	1850s
1860.	1860s
Kategorija:1860. leta	1860s
1870.	1870s
1880.	1880s
1890.	1890s
19	19
19 (število)	19 (number)
190	190
1900.	1900s
1920.	1920s
Kategorija:1920. leta	1920s
1930.	1930s
1940.	1940s
Kategorija:1940. leta	1940s
1950.	1950s
1960.	1960s
1970.	1970s
Kategorija:1970. leta	1970s
1980.	1980s
1990.	1990s
2	2
2 (število)	2 (number)
20	20
20 (število)	20 (number)
200	200
21	21
21 (število)	21 (number)
22	22
22 (število)	22 (number)
23	23
23 (število)	23 (number)
24	24
24 (število)	24 (number)
25	25
25 (število)	25 (number)
26	26
26 (število)	26 (number)
27	27
27 (število)	27 (number)
28	28
28 (število)	28 (number)
29	29
29 (število)	29 (number)
3	3
3 (število)	3 (number)
30	30
30 (število)	30 (number)
300	300
31	31
31 (število)	31 (number)
32	32
32 (število)	32 (number)
33	33
33 (število)	33 (number)
34	34
34 (število)	34 (number)
35	35
35 (število)	35 (number)
36	36
36 (število)	36 (number)
37	37
37 (število)	37 (number)
38	38
38 (število)	38 (number)
39	39
39 (število)	39 (number)
4	4
4 (število)	4 (number)
40	40
40 (število)	40 (number)
400	400
41	41
41 (število)	41 (number)
42	42
42 (število)	42 (number)
43	43
43 (število)	43 (number)
44	44
45	45
45 (število)	45 (number)
46	46
46 (število)	46 (number)
47	47
48	48
49	49
49 (število)	49 (number)
5	5
5 (število)	5 (number)
50	50
50 (število)	50 (number)
500	500
Kategorija:Leto 500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (število)	6 (number)
60	60
60 (število)	60 (number)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (število)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (število)	8 (number)
80	80
80 (število)	80 (number)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (število)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
ABC	ABC
Aids	AIDS
ATP	ATP
Aachen	Aachen
Aron	Aaron
Abak	Abacus
Opat	Abbot
Kratica	Abbreviation
Abelova grupa	Abelian group
Abolicionizem	Abolitionism
Splav	Abortion
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absint	Absinthe
Absolutni izsev	Absolute magnitude
Absolutna vrednost	Absolute value
Absolutna ničla	Absolute zero
Absolutizem	Absolutism (European history)
Abstraktni ekspresionizem	Abstract expressionism
Oskar (filmska nagrada)	Academy Award
Pospešek	Acceleration
Harmonika	Accordion
Akra	Accra
Etanal	Acetaldehyde
Ocetna kislina	Acetic acid
Aceton	Acetone
Acetilholin	Acetylcholine
Acetilen	Acetylene
Aheron	Acheron
Ahil	Achilles
Kislina	Acid
Kisli dež	Acid rain
Aconcagua	Aconcagua
Akustika	Acoustics
Kategorija:Akustika	Acoustics
Aker	Acre
Akropola	Acropolis
Aktinij	Actinium
Filmski igralec	Actor
Akupunktura	Acupuncture
Ada (programski jezik)	Ada (programming language)
Adam Smith	Adam Smith
Adana	Adana
Adis Abeba	Addis Ababa
Vsota	Addition
Adelaide	Adelaide
Adenin	Adenine
Adenozin trifosfat	Adenosine triphosphate
Adiabatna sprememba	Adiabatic process
Adiža	Adige
Admiral	Admiral
Mladostništvo	Adolescence
Adolf Hitler	Adolf Hitler
Adopcija	Adoption
Nadledvični žlezi	Adrenal gland
Jadransko morje	Adriatic Sea
Adventni čas	Advent
Oglaševanje	Advertising
Egejsko morje	Aegean Sea
Eneida	Aeneid
Eol	Aeolus
Aerodinamika	Aerodynamics
Ajshil	Aeschylus
Ezop	Aesop
Estetika	Aesthetics
Afganistan	Afghanistan
Kategorija:Afganistan	Afghanistan
Afrika	Africa
Kategorija:Afrika	Africa
Afrikanščina	Afrikaans
Ahat	Agate
Agatha Christie	Agatha Christie
Brezčeljustnice	Agnatha
Agnosticizem	Agnosticism
Agorafobija	Agoraphobia
Kmetijstvo	Agriculture
Kategorija:Kmetijstvo	Agriculture
Aikido	Aikido
Ain	Ain
Vojno letalstvo	Air force
Zrakoplov	Aircraft
Kategorija:Zrakoplovi	Aircraft
Letalonosilka	Aircraft carrier
Letališče	Airport
Ajax	Ajax
Ehnaton	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al Kaida	Al-Qaeda
Alabama	Alabama
Kategorija:Alabama	Alabama
Alan Bartlett Shepard mlajši	Alan Shepard
Alan Turing	Alan Turing
Aljaska	Alaska
Kategorija:Aljaska	Alaska
Alban Berg	Alban Berg
Albanija	Albania
Kategorija:Albanija	Albania
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Albinizem	Albinism
Albit	Albite
Glasbeni album	Album
Albuquerque, Nova Mehika	Albuquerque
Alkimija	Alchemy
Kategorija:Alkimija	Alchemy
Alkohol	Alcohol
Alkoholna pijača	Alcoholic beverage
Alkoholizem	Alcoholism
Aldehid	Aldehyde
Alec Guinness	Alec Guinness
Aleksander Solženicin	Aleksandr Solzhenitsyn
Alep	Aleppo
Aleuti	Aleutian Islands
Aleksander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Aleksander Sergejevič Puškin	Alexander Pushkin
Aleksander Veliki	Alexander the Great
Alexandre Dumas	Alexandre Dumas
Aleksandrija	Alexandria
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alge	Algae
Algebra	Algebra
Kategorija:Algebra	Algebra
Alžirija	Algeria
Kategorija:Alžirija	Algeria
Algoritem	Algorithm
Alhambra	Alhambra
Alkalijska kovina	Alkali metal
Alkaloid	Alkaloid
Alkan	Alkane
Alken	Alkene
Alkin	Alkyne
Alah	Allah
Alegorija	Allegory
Alotropija	Allotropy
Zlitina	Alloy
Almanah	Almanac
Alfa	Alpha (letter)
Delec alfa	Alpha particle
Abeceda	Alphabet
Alpe	Alps
Kategorija:Alpe	Alps
Alzacija	Alsace
Oltar	Altar
Altaj	Altay Mountains
Izmenični električni tok	Alternating current
Kategorija:Zdravilstvo	Alternative medicine
Zdravilstvo	Alternative medicine
Altruizem	Altruism
Aluminij	Aluminium
Alvar Aalto	Alvar Aalto
Alzheimerjeva bolezen	Alzheimer's disease
Zelena mušnica	Amanita phalloides
Amaterasu	Amaterasu
Amazonka	Amazon River
Veleposlanik	Ambassador
Jantar	Amber
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Ameriški bizon	American Bison
Ameriški črni medved	American Black Bear
Ameriška državljanska vojna	American Civil War
Ameriška vojna za neodvisnost	American Revolutionary War
Ameriška Samoa	American Samoa
ASCII	American Standard Code for Information Interchange
Ameriški nogomet	American football
Kategorija:Ameriški nogomet	American football
Americij	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametist	Amethyst
Amharščina	Amharic
Amid	Amide
Aminokislina	Amino acid
Aman	Amman
Ampermeter	Ammeter
Amonijak	Ammonia
Amnezija	Amnesia
Amper	Ampere
Amfetamin	Amphetamine
Dvoživke	Amphibian
Amfiteater	Amphitheatre
Amplituda	Amplitude
Amsterdam	Amsterdam
Kategorija:Amsterdam	Amsterdam
Amon	Amun
Amur	Amur
Anagram	Anagram
Analni spolni odnos	Anal sex
Anarhizem	Anarchism
Kategorija:Anarhizem	Anarchism
Anarhija	Anarchy
Kategorija:Anatomija	Anatomy
Anatomija	Anatomy
Anaksagora	Anaxagoras
Anaksimander	Anaximander
Kategorija:Antika	Ancient history
Andamansko morje	Andaman Sea
Anders Celsius	Anders Celsius
Andi	Andes
Andora	Andorra
Kategorija:Andora	Andorra
Andrea Palladio	Andrea Palladio
Andrej Dimitrijevič Saharov	Andrei Sakharov
Andrew Johnson	Andrew Johnson
Andromeda	Andromeda
Andromeda (ozvezdje)	Andromeda (constellation)
Andromeda (mitologija)	Andromeda (mythology)
Andromedina galaksija	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anestezija	Anesthesia
Angel	Angel
Kot	Angle
Angola	Angola
Kategorija:Angola	Angola
Angvila	Anguilla
Vrtilna količina	Angular momentum
Kotna hitrost	Angular velocity
Boetij	Anicius Manlius Severinus Boethius
Živali	Animal
Živinoreja	Animal husbandry
Animacija	Animation
Anime	Anime
Animizem	Animism
Ankara	Ankara
Kolobarniki	Annelid
Marijino oznanjenje	Annunciation
Anoda	Anode
Plojkokljuni	Anseriformes
Mravlje	Ant
Antiohija	Antakya
Antarktika	Antarctica
Kategorija:Antarktika	Antarctica
Antares	Antares
Antena	Antenna (radio)
Vranični prisad	Anthrax
Antropologija	Anthropology
Kategorija:Antropologija	Anthropology
Antibiotik	Antibiotic
Protitelo	Antibody
Anticiklon	Anticyclone
Antigen	Antigen
Antigona	Antigone
Antigva in Barbuda	Antigua and Barbuda
Kategorija:Antigva in Barbuda	Antigua and Barbuda
Antimaterija	Antimatter
Antimon	Antimony
Protipapež	Antipope
Antisemitizem	Antisemitism
Kategorija:Antisemitizem	Antisemitism
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Pavlovič Čehov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Protipomenka	Antonym
Antwerpen	Antwerp
Anubis	Anubis
Zadnjik	Anus
Človečnjaki	Ape
Afrodita	Aphrodite
Hudourniki	Apodiformes
Apolon	Apollo
Apollo	Apollo (disambiguation)
Program Apollo	Apollo program
Kategorija:Program Apollo	Apollo program
Apoptoza	Apoptosis
Apalači	Appalachian Mountains
Jabolko	Apple
Marelica	Apricot
April	April
14. april	April 14
Dan norcev	April Fools' Day
Apulija	Apulia
Akaba	Aqaba
Akvamarin (kamen)	Aquamarine
Akvitanija	Aquitaine
Arabci	Arab
Arabska liga	Arab League
Arabsko morje	Arabian Sea
Arabska abeceda	Arabic alphabet
Arabščina	Arabic language
Pajkovci	Arachnid
Aralsko jezero	Aral Sea
Aram Iljič Hačaturjan	Aram Khachaturian
Arcangelo Corelli	Arcangelo Corelli
Arheologija	Archaeology
Kategorija:Arheologija	Archaeology
Praptič	Archaeopteryx
Nadškof	Archbishop
Arhaik	Archean
Arhimed	Archimedes
Arhipelag	Archipelago
Arhitektura	Architecture
Kategorija:Arhitektura	Architecture
Arhiv	Archive
Arktika	Arctic
Arktični ocean	Arctic Ocean
Polarna lisica	Arctic fox
Ardennes (departma)	Ardennes (department)
Ar (enota)	Are
Površina	Area
Ares	Ares
Argentina	Argentina
