Swahili	English
10	10
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
Category:1728	1728
175	175
18	18
180	180
19	19
190	190
2	2
20	20
200	200
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
Ukimwi	AIDS
Mhanga	Aardvark
Abidjan	Abidjan
Abrahamu	Abraham
Abraham Lincoln	Abraham Lincoln
Abu Dhabi	Abu Dhabi
Abuja	Abuja
Academy Awards	Academy Award
Accra	Accra
Asidi	Acid
Matendo ya Mitume	Acts of the Apostles
Addis Ababa	Addis Ababa
Adolf Hitler	Adolf Hitler
Adria	Adriatic Sea
Afghanistan	Afghanistan
Category:Afghanistan	Afghanistan
Afrika	Africa
Category:Afrika	Africa
Kiafrikaans	Afrikaans
Category:Kilimo	Agriculture
Akira Kurosawa	Akira Kurosawa
Alaska	Alaska
Albania	Albania
Category:Albania	Albania
Albatrosi	Albatross
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albuquerque, New Mexico	Albuquerque
Aleksandr Solzhenitsyn	Aleksandr Solzhenitsyn
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Aleksander Pushkin	Alexander Pushkin
Aleksander Mashuhuri	Alexander the Great
Aleksandria	Alexandria
Alfred Nobel	Alfred Nobel
Category:Algeria	Algeria
Algiers	Algiers
Ali ibn Abu Talib	Ali
Metali alikali	Alkali metal
Aloi	Alloy
Almaty	Almaty
Alpha	Alpha (letter)
Alpha Centauri	Alpha Centauri
Alfabeti	Alphabet
Alpi	Alps
Alumini	Aluminium
Amazonas (mto)	Amazon River
Vita vya wenyewe kwa wenyewe vya Marekani	American Civil War
Samoa ya Marekani	American Samoa
Amerigo Vespucci	Amerigo Vespucci
Amman	Amman
Ampea	Ampere
Amsterdam	Amsterdam
Amur (mto)	Amur
Utawala huria	Anarchism
Bata	Anatidae
Anatole France	Anatole France
Andalusia	Andalusia
Andes	Andes
Andorra	Andorra
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andy Warhol	Andy Warhol
Pembe (jiometria)	Angle
Angola	Angola
Category:Angola	Angola
Anguilla	Anguilla
Baada ya Kristo	Anno Domini
Antananarivo	Antananarivo
Bara la Antaktiki	Antarctica
Antigua na Barbuda	Antigua and Barbuda
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Chekhov
Antonio Vivaldi	Antonio Vivaldi
Antwerpen	Antwerp
Apia	Apia
Tofaa	Apple
Aprili	April
14 Aprili	April 14
Waarabu	Arab
Jumuiya ya Nchi za Kiarabu	Arab League
Bara Arabu	Arabian Peninsula
Herufi za Kiarabu	Arabic alphabet
Kiarabu	Arabic language
Aral (ziwa)	Aral Sea
Akiolojia	Archaeology
Askofu mkuu	Archbishop
Archimedes	Archimedes
Funguvisiwa	Archipelago
Ujenzi	Architecture
Bahari ya Aktiki	Arctic Ocean
Argentina	Argentina
Category:Argentina	Argentina
Arigoni	Argon
Aristoteli	Aristotle
Hesabu	Arithmetic
Armenia	Armenia
Category:Armenia	Armenia
Asenia	Arsenic
Arthur Holly Compton	Arthur Compton
Arthur Rimbaud	Arthur Rimbaud
Aruba	Aruba
Asia	Asia
Category:Asia	Asia
Asmara	Asmara
Astana	Astana
Astatini	Astatine
Unajimu	Astrology
Falaki	Astronomy
Category:Falaki	Astronomy
Aswan	Aswan
Athens	Athens
Atlantiki	Atlantic Ocean
Category:Atlantiki	Atlantic Ocean
Atolli	Atoll
Atomi	Atom
Uzani atomia	Atomic mass
Namba atomia	Atomic number
Agosti	August
1 Agosti	August 1
15 Agosti	August 15
6 Agosti	August 6
Agostino wa Hippo	Augustine of Hippo
Augusto	Augustus
Category:Australia	Australia
Austria	Austria
Category:Austria	Austria
Austria-Hungaria	Austria-Hungary
Banguko	Avalanche
Ayatollah	Ayatollah
Azerbaijan	Azerbaijan
Azori	Azores
Azteki	Aztec
B	B
Babeli	Babylon
Bakteria	Bacteria
Baghdad	Baghdad
Bahrain	Bahrain
Category:Bahrain	Bahrain
Baku	Baku
Balkani	Balkans
Bahari ya Baltiki	Baltic Sea
Bamako	Bamako
Ndizi	Banana
Bangkok	Bangkok
Bangla Desh	Bangladesh
Category:Bangladesh	Bangladesh
Bangui	Bangui
Banjul	Banjul
Barbados	Barbados
Bari	Barium
Basil wa Caesarea	Basil of Caesarea
Basra	Basra
Basseterre	Basseterre
Boksiti	Bauxite
Ghuba ya Bengali	Bay of Bengal
Bede Mheshimiwa	Bede
Bia	Beer
Beijing	Beijing
Beirut	Beirut
Belarus	Belarus
Ubelgiji	Belgium
Category:Ubelgiji	Belgium
Belgrad	Belgrade
Belize	Belize
Category:Belize	Belize
Benin	Benin
Category:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Harrison	Benjamin Harrison
Mlango wa Bering	Bering Strait
Berlin	Berlin
Bermuda	Bermuda
Bern	Berne
Bertrand Russell	Bertrand Russell
Berili	Beryllium
Beta	Beta (letter)
Bhutan	Bhutan
Biblia ya Kikristo	Bible
Category:Biblia	Bible
Darubini	Binoculars
Biolojia	Biology
Category:Biolojia	Biology
Ndege (mnyama)	Bird
Bishkek	Bishkek
Bismuthi	Bismuth
Bisau	Bissau
Msitu mweusi	Black Forest
Bahari Nyeusi	Black Sea
Bloemfontein	Bloemfontein
Blogu	Blog
Damu	Blood
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bolivia	Bolivia
Category:Bolivia	Bolivia
Bonn	Bonn
Kitabu	Book
Kitabu cha Esta	Book of Esther
Kitabu cha Yoshua	Book of Joshua
Waamuzi (Biblia)	Book of Judges
Kitabu cha Mormoni	Book of Mormon
Hesabu (Biblia)	Book of Numbers
Ufunuo wa Yohane	Book of Revelation
Kitabu cha Ruthu	Book of Ruth
Boris Leonidovich Pasternak	Boris Pasternak
Borneo	Borneo
Boroni	Boron
Bosnia na Herzegovina	Bosnia and Herzegovina
Bosporus	Bosporus
Botania	Botany
Botswana	Botswana
Category:Botswana	Botswana
Category:Wapiga ngumi	Boxers
Bram Stoker	Bram Stoker
Bratislava	Bratislava
Brazil	Brazil
Category:Brazil	Brazil
Brazzaville	Brazzaville
Mkate	Bread
Bremen	Bremen
Bridgetown	Bridgetown
Funguvisiwa ya Britania	British Isles
Visiwa vya Virgin vya Uingereza	British Virgin Islands
Category:Watu wa Uingereza	British people
Bromi	Bromine
Bruce Lee	Bruce Lee
Brunei	Brunei
Category:Brunei	Brunei
Brussels	Brussels
Bukarest	Bucharest
Budapest	Budapest
Ubuddha	Buddhism
Buenos Aires	Buenos Aires
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Category:Bulgaria	Bulgaria
Burkina Faso	Burkina Faso
Category:Burkina Faso	Burkina Faso
Myanmar	Burma
Category:Burundi	Burundi
C	C
Cadimi	Cadmium
Caesi	Caesium
Kairo	Cairo
Kalisi	Calcium
Kaldera	Caldera
Kalenda	Calendar
California	California
Calvin Coolidge	Calvin Coolidge
Kamboja	Cambodia
Category:Kamboja	Cambodia
Kamerun	Cameroon
Category:Kamerun	Cameroon
Kanada	Canada
Category:Kanada	Canada
Visiwa vya Kanari	Canary Islands
Category:Visiwa vya Kanari	Canary Islands
Canberra	Canberra
Cape Town	Cape Town
Cabo Verde	Cape Verde
Category:Cabo Verde	Cape Verde
Rasi ya Tumaini Jema	Cape of Good Hope
Mji mkuu	Capital
Adhabu ya kifo	Capital punishment
Caracas	Caracas
Kabohidrati	Carbohydrate
Kaboni	Carbon
Cardiff	Cardiff
Kardinali	Cardinal (Catholicism)
Visiwa vya Karibi	Caribbean
Category:Karibi	Caribbean
Bahari ya Karibi	Caribbean Sea
Carl David Anderson	Carl David Anderson
Carl Maria von Weber	Carl Maria von Weber
Karthago	Carthage
Bahari ya Kaspi	Caspian Sea
Castries	Castries
Paka	Cat
Cayenne	Cayenne
Cayman	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Seli	Cell (biology)
Selsiasi	Celsius
Saruji	Cement
Afrika ya Kati	Central Africa
Jamhuri ya Afrika ya Kati	Central African Republic
Category:Jamhuri ya Afrika ya Kati	Central African Republic
Amerika ya Kati	Central America
Category:Amerika ya Kati	Central America
Karne	Century
nafaka	Cereal
Chad	Chad
Category:Chad	Chad
Karolo Mkuu	Charlemagne
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charlie Chaplin	Charlie Chaplin
Che Guevara	Che Guevara
Jibini	Cheese
Duma	Cheetah
Kampaundi	Chemical compound
Elementi za kikemia	Chemical element
Kemia	Chemistry
Category:Kemia	Chemistry
Sataranji	Chess
Chester Arthur	Chester A. Arthur
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Chile	Chile
Category:Chile	Chile
Category:Uchina	China
Chlorini	Chlorine
Chokoleti	Chocolate
Ukristo	Christianity
Category:Ukristo	Christianity
Krismasi	Christmas
Kristoforo Kolumbus	Christopher Columbus
Chromi	Chromium
Duara	Circle
Dola-mji	City-state
Vita ya wenyewe kwa wenyewe	Civil war
Kobalti	Cobalt
Kokain	Cocaine
Mnazi (mti)	Coconut
Visiwa vya Cocos (Keeling)	Cocos (Keeling) Islands
Kahawa	Coffee
Sarafu	Coin
Köln	Cologne
Kolombia	Colombia
Category:Kolombia	Colombia
Koloseo	Colosseum
Sanamu ya Kolossos kisiwani Rhodos	Colossus of Rhodes
Nyotamkia	Comet
Jumuiya ya Nchi Huru	Commonwealth of Independent States
Jumuiya ya Madola	Commonwealth of Nations
Category:Mawasiliano	Communication
Komori	Comoros
Tarakilishi	Computer
Conakry	Conakry
Kongo	Congo
Kongo (mto)	Congo River
Conquistador	Conquistador
Konsonanti	Consonant
Konstantino Mkuu	Constantine I
Kundinyota	Constellation
Katiba	Constitution (political)
Bara	Continent
Kopenhagen	Copenhagen
Shaba	Copper
Mnandi	Cormorant
Korsika	Corsica
Kosta Rika	Costa Rica
Cotonou	Cotonou
Nchi	Country
Mahakama	Court
Korongo (Gruidae)	Crane (bird)
Kroatia	Croatia
Kunguru	Crow
Ganda la dunia	Crust (geology)
Kuba	Cuba
Curitiba	Curitiba
Tufani	Cyclone
Kupro	Cyprus
Kikyrili	Cyrillic alphabet
Ucheki	Czech Republic
Category:Ucheki	Czech Republic
Chekoslovakia	Czechoslovakia
D	D
Dakar	Dakar
Lambo	Dam
Dameski	Damascus
Dante Alighieri	Dante Alighieri
Danubi (mto)	Danube
Dar es Salaam	Dar es Salaam
Dardaneli	Dardanelles
Darmstadti	Darmstadtium
David Livingstone	David Livingstone
Siku	Day
Shemasi	Deacon
Bahari ya Chumvi	Dead Sea
Desemba	December
31 Desemba	December 31
8 Desemba	December 8
Kaizari Decius	Decius (emperor)
Nyuzi	Degree (angle)
Delaware	Delaware
Jamhuri ya Kidemokrasia ya Kongo	Democratic Republic of the Congo
Category:Jamhuri ya Kidemokrasia ya Kongo	Democratic Republic of the Congo
Denmark	Denmark
Category:Denmark	Denmark
Dennis Gabor	Dennis Gabor
Jangwa	Desert
Category:Jangwa	Deserts
Kumbukumbu la Sheria	Deuteronomy
Kipenyo	Diameter
Almasi	Diamond
Udikteta	Dictatorship
Dinosau	Dinosaur
Diokletian	Diocletian
Category:Makala zinazotofautisha maana	Disambiguation
Category:Jibuti	Djibouti
Jibuti (mji)	Djibouti (city)
Dodoma (mji)	Dodoma
Doha	Doha
Dola (pesa)	Dollar
Kuba (jengo)	Dome
Dominica	Dominica
Jamhuri ya Dominika	Dominican Republic
Domitian	Domitian
Donatello	Donatello
Douala	Douala
Dresden	Dresden
Kinywaji	Drink
Dubai	Dubai
Dublin	Dublin
Duke Ellington	Duke Ellington
Tuta la mchanga	Dune
Durban	Durban
Dushanbe	Dushanbe
Dwight D. Eisenhower	Dwight D. Eisenhower
E	E
Tai	Eagle
Dunia	Earth
Sayansi za dunia	Earth science
Tetemeko la ardhi	Earthquake
Afrika ya Mashariki	East Africa
Jamhuri ya Kidemokrasia ya Kijerumani	East Germany
Timor ya Mashariki	East Timor
Category:Timor ya Mashariki	East Timor
Pasaka	Easter
Category:Uchumi	Economics
Ekuador	Ecuador
Category:Ekuador	Ecuador
Mtaguso Mkuu	Ecumenical council
Edinburgh	Edinburgh
Edmund Hillary	Edmund Hillary
Eduard Buchner	Eduard Buchner
Elimu	Education
Edvard Grieg	Edvard Grieg
Edward Muungamaji	Edward the Confessor
Misri	Egypt
Category:Misri	Egypt
Mnara wa Eiffel	Eiffel Tower
El Salvador	El Salvador
Category:El Salvador	El Salvador
Elbe	Elbe
Elektroni	Electron
Ndovu	Elephant
Elias Canetti	Elias Canetti
Nabii Eliya	Elijah
Ella Fitzgerald	Ella Fitzgerald
Elvis Presley	Elvis Presley
Zumaridi	Emerald
Emma Goldman	Emma Goldman
Kaizari	Emperor
Empire State Building	Empire State Building
Kamusi elezo	Encyclopedia
Uhandisi	Engineering
Uingereza (nchi)	England
Mfereji wa Kiingereza	English Channel
Kiingereza	English language
Category:Kiingereza	English language
Enrico Fermi	Enrico Fermi
Waraka kwa Wagalatia	Epistle to the Galatians
Waraka kwa Waroma	Epistle to the Romans
Epsilon	Epsilon
Ikweta	Equator
Guinea ya Ikweta	Equatorial Guinea
Category:Guinea ya Ikweta	Equatorial Guinea
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eris (sayari kibete)	Eris (dwarf planet)
Category:Eritrea	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Mmomonyoko	Erosion
Kiesperanto	Esperanto
Category:Estonia	Estonia
Ethiopia	Ethiopia
Category:Ethiopia	Ethiopia
Eugene O'Neill	Eugene O'Neill
Frati	Euphrates
Euro	Euro
Ulaya	Europe
Category:Ulaya	Europe
Jumuiya ya Kiuchumi ya Ulaya	European Community
Umoja wa Ulaya	European Union
Uvukizaji	Evaporation
Kutoka (Biblia)	Exodus
F	F
Kozi	Falcon
Februari	February
12 Februari	February 12
14 Februari	February 14
2 Februari	February 2
22 Februari	February 22
29 Februari	February 29
Felix Mendelssohn	Felix Mendelssohn
Ferdinand Magellan	Ferdinand Magellan
Fidel Castro	Fidel Castro
Fiji	Fiji
Ufini	Finland
Category:Ufini	Finland
bunduki	Firearm
Waraka wa kwanza kwa Wakorintho	First Epistle to the Corinthians
Lugha ya kwanza	First language
Bendera	Flag
Heroe	Flamingo
Flandria	Flanders
Firenze	Florence
Florence Nightingale	Florence Nightingale
Florida	Florida
Unga	Flour
chakula	Food
Futi	Foot (unit of length)
Mpira wa miguu	Football (soccer)
Ufaransa	France
Category:Ufaransa	France
Francis Crick	Francis Crick
Fransisko wa Asizi	Francis of Assisi
Wafransisko	Franciscan
Francisco de Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Fransi	Francium
Frankfurt am Main	Frankfurt
Frankfurt	Frankfurt (disambiguation)
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Dola Huru	Free State
Freetown	Freetown
Polynesia ya Kifaransa	French Polynesia
Mapinduzi ya Ufaransa	French Revolution
Category:Watu wa Ufaransa	French people
Ijumaa	Friday
Fridtjof Nansen	Fridtjof Nansen
Fritz Haber	Fritz Haber
Tunda	Fruit
Category:Matunda	Fruit
Category:Jamii Kuu	Fundamental
Fanicha	Furniture
Fyodor Dostoyevski	Fyodor Dostoevsky
G	G
Gabon	Gabon
Category:Gabon	Gabon
Gaborone	Gaborone
Gabriel Lippmann	Gabriel Lippmann
Galaksi	Galaxy
Gali	Gallium
Gamal Abdel Nasser	Gamal Abdel Nasser
Gamma	Gamma
Ganga (mto)	Ganges
Gansu	Gansu
Gesi	Gas
Gallia	Gaul
Ukanda wa Gaza	Gaza Strip
Kito	Gemstone
Jenerali	General Officer
Mwanzo (Biblia)	Genesis
Geoffrey Chaucer	Geoffrey Chaucer
Jiografia	Geography
Category:Jiografia	Geography
Category:Jiolojia	Geology
Category:Jiometria	Geometry
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Bernard Shaw	George Bernard Shaw
Georg Friederich Händel	George Frideric Handel
George Gershwin	George Gershwin
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georgetown (Guyana)	Georgetown
Georgia (jimbo)	Georgia (U.S. state)
Georgia (nchi)	Georgia (country)
Category:Georgia (nchi)	Georgia (country)
Kijerumani	German language
Gerimani	Germanium
Ujerumani	Germany
Category:Ujerumani	Germany
Ghana	Ghana
Category:Ghana	Ghana
Giacomo Puccini	Giacomo Puccini
Gibraltar	Gibraltar
Twiga	Giraffe
Giuseppe Verdi	Giuseppe Verdi
Barafuto	Glacier
Kioo	Glass
Mbuzi	Goat
Mungu	God
Dhahabu	Gold
Injili	Gospel
Injili ya Luka	Gospel of Luke
Granada	Granada
Zabibu	Grape
Great Barrier Reef	Great Barrier Reef
Maziwa makubwa ya Amerika Kaskazini	Great Lakes
Ukuta wa China	Great Wall of China
Antili Kubwa	Greater Antilles
Kibisi	Grebe
Ugiriki	Greece
Category:Ugiriki	Greece
Alfabeti ya Kigiriki	Greek alphabet
Greenland	Greenland
Kalenda ya Gregori	Gregorian calendar
Grover Cleveland	Grover Cleveland
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Category:Guatemala	Guatemala
Guatemala City	Guatemala City
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guinea	Guinea
Category:Guinea	Guinea
Guinea Bisau	Guinea-Bissau
Category:Guinea Bisau	Guinea-Bissau
Mkondo wa Ghuba	Gulf Stream
Bahari ya Eritrea	Gulf of Aden
Ghuba ya Akaba	Gulf of Aqaba
Ghuba ya Guinea	Gulf of Guinea
Ghuba ya Meksiko	Gulf of Mexico
Ghuba ya Omani	Gulf of Oman
Shakwe	Gull
baruti	Gunpowder
Gustav Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
H	H
Hadithi za Mtume Muhammad	Hadith
Kaizari Hadrian	Hadrian
Hafni	Hafnium
Haiti	Haiti
Category:Haiti	Haiti
Hamburg	Hamburg
Hammurabi	Hammurabi
Utawala wa Han	Han Dynasty
Hanoi	Hanoi
Hans Bethe	Hans Bethe
Harare	Harare
Harold Pinter	Harold Pinter
Havana	Havana
Hawaii	Hawaii
Category:Afya	Health
Hebei	Hebei
Hektari	Hectare
Hector Berlioz	Hector Berlioz
Helen Keller	Helen Keller
Helena, Montana	Helena
Heli	Helium
Helsinki	Helsinki
Antoine Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry Fonda	Henry Fonda
Hermann Hesse	Hermann Hesse
Herodoti	Herodotus
Kingoyo	Heron
Hesse	Hesse
Hezbollah	Hezbollah
Hideki Yukawa	Hideki Yukawa
Himalaya	Himalayas
Hipparchos wa Nikaia	Hipparchus
Hippokrates	Hippocrates
Kiboko	Hippopotamus
Hirohito wa Japani	Hirohito
Hispaniola	Hispaniola
Historia	History
Sikukuu	Holiday
Hollywood	Hollywood
Dola Takatifu la Kiroma	Holy Roman Empire
Homer	Homer
Honduras	Honduras
Category:Honduras	Honduras
Asali	Honey
Kengewa	Honey Buzzard
Hong Kong	Hong Kong
Honiara	Honiara
Horatius	Horace
Saa	Hour
Nyumba	House
Binadamu	Human
Hunan	Hunan
Hungaria	Hungary
Category:Hungaria	Hungary
Hidrojeni	Hydrogen
I	I
Ieoh Ming Pei	I. M. Pei
Rasi ya Iberia	Iberian Peninsula
Barafu	Ice
Iceland	Iceland
Category:Iceland	Iceland
Kiido	Ido
Igor Stravinsky	Igor Stravinsky
Illinois	Illinois
Uhindi	India
Category:Uhindi	India
Bahari ya Hindi	Indian Ocean
Category:Bahari ya Hindi	Indian Ocean
Indi	Indium
Indochina	Indochina
Indonesia	Indonesia
Category:Indonesia	Indonesia
Indus (mto)	Indus River
Ingmar Bergman	Ingmar Bergman
Mongolia ya Kichina	Inner Mongolia
Mahakama Kuu ya Kimataifa	International Court of Justice
IMF	International Monetary Fund
Vipimo sanifu vya kimataifa	International System of Units
Intaneti	Internet
Makambi ya KZ	Internment
Iodini	Iodine
Ionia	Ionia
Uajemi	Iran
Category:Uajemi	Iran
Iraq	Iraq
Category:Iraq	Iraq
Mtakatifu Ireneo	Irenaeus
Category:Watu wa Ireland	Irish people
Chuma	Iron
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Uislamu	Islam
Category:Uislamu	Islam
Islamabad	Islamabad
Kalenda ya Kiislamu	Islamic calendar
Kisiwa	Island
Isle of Man	Isle of Man
Israel	Israel
Category:Israel	Israel
Istanbul	Istanbul
Rasi ya Italia	Italian Peninsula
Italia	Italy
Category:Italia	Italy
Ivan Pavlov	Ivan Pavlov
J	J
Jacques Cartier	Jacques Cartier
Jacques Offenbach	Jacques Offenbach
Jakarta	Jakarta
Jamaika	Jamaica
Category:Jamaika	Jamaica
James A. Garfield	James A. Garfield
James Buchanan	James Buchanan
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Watt	James Watt
Januari	January
1 Januari	January 1
19 Januari	January 19
20 Januari	January 20
6 Januari	January 6
Japani	Japan
Category:Japani	Japan
Jean Sibelius	Jean Sibelius
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Jeddah
Jersey	Jersey
Yerusalemu	Jerusalem
Yesu	Jesus
Jimi Hendrix	Jimi Hendrix
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Galsworthy	John Galsworthy
John Lennon	John Lennon
John Locke	John Locke
