Turkish	English
Sıfır	0 (number)
1	1
1 (sayı)	1 (number)
10	10
10 (sayı)	10 (number)
100	100
Kategori:100	100
1000	1000
Kategori:1000	1000
101	101
105	105
11	11
11 (sayı)	11 (number)
110	110
115	115
12	12
Kategori:12	12
12 (sayı)	12 (number)
120	120
125	125
13	13
13 (sayı)	13 (number)
130	130
135	135
14	14
Kategori:14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
Kategori:16	16
160	160
165	165
17	17
Kategori:17	17
170	170
1728	1728
Kategori:1728	1728
175	175
Kategori:1750'ler	1750s
Kategori:1760'lar	1760s
Kategori:1770'ler	1770s
Kategori:1780'ler	1780s
Kategori:1790'lar	1790s
18	18
180	180
Kategori:1820'ler	1820s
Kategori:1830'lar	1830s
Kategori:1840'lar	1840s
Kategori:1860'lar	1860s
Kategori:1870'ler	1870s
Kategori:1880'ler	1880s
Kategori:1890'lar	1890s
19	19
19 (sayı)	19 (number)
190	190
Kategori:1900'ler	1900s
Kategori:1920'ler	1920s
Kategori:1930'lar	1930s
Kategori:1940'lar	1940s
Kategori:1950'ler	1950s
Kategori:1960'lar	1960s
Kategori:1970'ler	1970s
Kategori:1980'ler	1980s
Kategori:1990'lar	1990s
2	2
2 (sayı)	2 (number)
20	20
200	200
21	21
22	22
22 (sayı)	22 (number)
23	23
23 (sayı)	23 (number)
24	24
24 (dizi)	24 (TV series)
25	25
26	26
27	27
28	28
29	29
3	3
3 (sayı)	3 (number)
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 (sayı)	4 (number)
40	40
400	400
41	41
42	42
42 (sayı)	42 (number)
43	43
44	44
45	45
Kırk beş	45 (number)
46	46
Kırk altı	46 (number)
47	47
48	48
49	49
5	5
5 (sayı)	5 (number)
50	50
500	500
Kategori:500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (sayı)	6 (number)
60	60
Altmış	60 (number)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (sayı)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (sayı)	8 (number)
80	80
80 (sayı)	80 (number)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (sayı)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A (harf)	A
A (Kiril)	A (Cyrillic)
Akapella	A cappella
ABC	ABC
AIDS	AIDS
ALGOL	ALGOL
ATP	ATP
AZ Alkmaar	AZ (football club)
Aachen (kent)	Aachen
Aare	Aar
Yerdomuzu	Aardvark
Århus	Aarhus
Sayı boncuğu	Abacus
Abadan	Abadan
Karın (anatomi)	Abdomen
Abel Tasman	Abel Tasman
Aberdeen	Aberdeen
Abican	Abidjan
Abhazya	Abkhazia
Kategori:Abhazya	Abkhazia
Kürtaj	Abortion
İbrahim (peygamber)	Abraham
Abraham Lincoln	Abraham Lincoln
Absint	Absinthe
Saltık büyüklük	Absolute magnitude
Mutlak değer	Absolute value
Mutlak sıfır	Absolute zero
Soyut sanat	Abstract art
Soyut dışavurumculuk	Abstract expressionism
Soyutlama	Abstraction
Abu Dabi	Abu Dhabi
Abuja	Abuja
Akasya	Acacia
Akademi Ödülleri	Academy Award
Acapulco	Acapulco
İvme	Acceleration
Atmacagiller	Accipitridae
Akordiyon	Accordion
Muhasebe	Accountancy
Kategori:Muhasebe	Accountancy
Akra	Accra
Asetik asit	Acetic acid
Aseton	Acetone
Asetilkolin	Acetylcholine
Acheron	Acheron
Civanperçemi	Achillea millefolium
Akhilleus	Achilles
Asit	Acid
Asit yağmuru	Acid rain
Akne	Acne vulgaris
Aconcagua	Aconcagua
Palamut (yemiş)	Acorn
Akustik	Acoustics
Kategori:Akustik	Acoustics
Akkâ	Acre
Acre (eyalet)	Acre (state)
Akropolis	Acropolis
Aktinit	Actinide
Aktinyum	Actinium
Aktör	Actor
Akupunktur	Acupuncture
Ad hominem	Ad hominem
Ada programlama dili	Ada (programming language)
Âdem	Adam
Adam Smith	Adam Smith
Adana	Adana
Baobab	Adansonia
Bağımlılık	Addiction
Addis Ababa	Addis Ababa
Aden, Yemen	Aden
Adenin	Adenine
Adenozin trifosfat	Adenosine triphosphate
Adyabatik	Adiabatic process
Sıfat	Adjective
Amiral	Admiral
Adolesan	Adolescence
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis (mitoloji)	Adonis
Adriyatik Denizi	Adriatic Sea
Advent	Advent
Belirteç	Adverb
Reklam	Advertising
Ege Denizi	Aegean Sea
Aeneas	Aeneas
Aineias	Aeneid
Aiolos	Aeolus
Aerodinamik	Aerodynamics
Aerosol	Aerosol
Eshilos	Aeschylus
Ezop	Aesop
Estetik	Aesthetics
Afganistan	Afghanistan
Kategori:Afganistan	Afghanistan
Afrika	Africa
Kategori:Afrika	Africa
Afrikaans	Afrikaans
Agememnon	Agamemnon
Akik	Agate
Agatha Christie	Agatha Christie
Çenesiz balıklar	Agnatha
Agnostisizm	Agnosticism
Agora	Agora
Agorafobi	Agoraphobia
Agra	Agra
Tarım	Agriculture
Kategori:Ziraat	Agriculture
Aikido	Aikido
Ain	Ain
Airbus	Airbus
Hava taşıtı	Aircraft
Kategori:Uçaklar	Aircraft
Uçak gemisi	Aircraft carrier
Hava meydanı	Airport
Ajax	Ajax
AJAX (programlama)	Ajax (programming)
Akhenaton	Akhenaten
Akira Kurosava	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
El Kaide	Al-Qaeda
Alabama	Alabama
Kategori:Alabama	Alabama
Alan Turing	Alan Turing
Alanin	Alanine
Alaska	Alaska
Kategori:Alaska	Alaska
Alban Berg	Alban Berg
Arnavutluk	Albania
Kategori:Arnavutluk	Albania
Albatros	Albatross
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Akşınlık	Albinism
Albit	Albite
Albuquerque	Albuquerque
Simya	Alchemy
Kategori:Simya	Alchemy
Alkol	Alcohol
Alkolizm	Alcoholism
Aldehitler	Aldehyde
Kızılağaç	Alder
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Soljenitsın	Aleksandr Solzhenitsyn
Halep	Aleppo
Aleut Adaları	Aleutian Islands
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Pope	Alexander Pope
Aleksandr Sergeyeviç Puşkin	Alexander Pushkin
Büyük İskender	Alexander the Great
Alexandre Dumas (baba)	Alexandre Dumas
Alexandre Dumas (oğul)	Alexandre Dumas
İskenderiye	Alexandria
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Büyük Alfred	Alfred the Great
Su yosunları	Algae
Cebir	Algebra
Cezayir	Algeria
Kategori:Cezayir	Algeria
Cezayir (şehir)	Algiers
Algoritma (yöntem mantığı)	Algorithm
El Hamra Sarayı	Alhambra
Ali bin Ebu Talib	Ali
Alkali metal	Alkali metal
Alkaloid	Alkaloid
Alkan	Alkane
Alken	Alkene
Allah	Allah
Alegori	Allegory
Alel	Allele
Allen Ginsberg	Allen Ginsberg
Alerji	Allergy
Allosaurus	Allosaurus
Allotrop	Allotropy
Alaşım	Alloy
Almanak	Almanac
Almatı	Almaty
Badem	Almond
Α	Alpha (letter)
Alfa Centauri	Alpha Centauri
Alfabe	Alphabet
Alpler	Alps
Kategori:Alpler	Alps
Alsace	Alsace
Altair	Altair
Altar	Altar
Altay Dağları	Altay Mountains
Alternatif akım	Alternating current
Kategori:Alternatif tıp	Alternative medicine
Alternatif tıp	Alternative medicine
Diğerkâmlık	Altruism
Alüminyum	Aluminium
Alvar Aalto	Alvar Aalto
Alzheimer hastalığı	Alzheimer's disease
Sinek mantarı	Amanita muscaria
Amanita phalloides	Amanita phalloides
Nergisgiller	Amaryllidaceae
Amazon Nehri	Amazon River
Büyükelçi	Ambassador
Kehribar	Amber
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Amerika bizonu	American Bison
Amerika siyah ayısı	American Black Bear
Amerikan İç Savaşı	American Civil War
Amerikan Bağımsızlık Savaşı	American Revolutionary War
Amerikan Samoası	American Samoa
ASCII	American Standard Code for Information Interchange
Amerikan futbolu	American football
Amerikyum	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametist	Amethyst
Amharca	Amharic
Amid	Amide
Amin	Amine
Aminoasit	Amino acid
Amish	Amish
Amman	Amman
Ampermetre	Ammeter
Amonyak	Ammonia
Amnezi	Amnesia
Amper	Ampere
Amfetamin	Amphetamine
İki yaşamlılar	Amphibian
Amfitiyatro	Amphitheatre
Amfora	Amphora
Amsterdam	Amsterdam
Kategori:Amsterdam	Amsterdam
Amun	Amun
Amur	Amur
Anagram	Anagram
Anal seks	Anal sex
Analitik geometri	Analytic geometry
Anarşizm	Anarchism
Kategori:Anarşizm	Anarchism
Ördekgiller	Anatidae
Anatole France	Anatole France
Kategori:Anatomi	Anatomy
Anatomi	Anatomy
Anaksagoras	Anaxagoras
Anaksimandros	Anaximander
Anchorage, Alaska	Anchorage
Kategori:Antik tarih	Ancient history
Endülüs Özerk Bölgesi	Andalusia
Andaman Denizi	Andaman Sea
Anders Celsius	Anders Celsius
And Dağları	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Kategori:Andorra	Andorra
Andrea Palladio	Andrea Palladio
Andrey Saharov	Andrei Sakharov
Andrey Tarkovski	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda	Andromeda
Andromeda (takımyıldız)	Andromeda (constellation)
Andromeda (mitoloji)	Andromeda (mythology)
Andromeda Gökadası	Andromeda Galaxy
Andy Warhol	Andy Warhol
Kansızlık	Anemia
Anemometre	Anemometer
Anestezi	Anesthesia
Melek	Angel
Melek Şelalesi	Angel Falls
Açı	Angle
Anglikanizm	Anglicanism
Angola	Angola
Kategori:Angola	Angola
Anguilla	Anguilla
Açısal momentum	Angular momentum
Boethius	Anicius Manlius Severinus Boethius
Anilin	Aniline
Hayvanlar	Animal
Hayvancılık	Animal husbandry
Animasyon	Animation
Anime	Anime
Kategori:Anime	Anime
Animizm	Animism
Anason	Anise
Ankara	Ankara
Annapurna	Annapurna
Anne Boleyn	Anne Boleyn
Halkalı solucanlar	Annelid
Anno Domini	Anno Domini
Anot	Anode
Anoreksiya nervoza	Anorexia nervosa
Kazsılar	Anseriformes
Kategori:Kazsılar	Anseriformes
Karınca	Ant
Antakya, Hatay	Antakya
Antalya (merkez)	Antalya
Antananarivo	Antananarivo
Antarktika	Antarctica
Kategori:Antarktika	Antarctica
Antares	Antares
Anthony Hopkins	Anthony Hopkins
Şarbon	Anthrax
İnsan bilimi	Anthropology
Kategori:Antropoloji	Anthropology
Antroposofi	Anthroposophy
Antibiyotik	Antibiotic
Antikor	Antibody
Deccal	Antichrist
Yüksek basınç	Anticyclone
Antigone	Antigone
Antigua ve Barbuda	Antigua and Barbuda
Antimadde	Antimatter
Antimon	Antimony
Antioksidan	Antioxidant
Antisemitizm	Antisemitism
Kategori:Antisemitizm	Antisemitism
Antlia (takımyıldız)	Antlia
Antofagasta, Şili	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Çehov	Anton Chekhov
Antonio Vivaldi	Antonio Vivaldi
Antonim	Antonym
Anvers (şehir)	Antwerp
Anubis	Anubis
Anüs	Anus
Apaçi	Apache
Apatit	Apatite
İnsansılar	Ape
Afazi	Aphasia
Aforizma	Aphorism
Afrodit	Aphrodite
Apia	Apia
Maydanozgiller	Apiaceae
Ebabiller	Apodiformes
Apollon	Apollo
Apollo (anlam ayrım)	Apollo (disambiguation)
Apollo Projesi	Apollo program
Kategori:Apollo Projesi	Apollo program
Apoptozis	Apoptosis
Apalaş Dağları	Appalachian Mountains
Apandisit	Appendicitis
Elma	Apple
Kayısı	Apricot
Nisan	April
14 Nisan	April 14
1 Nisan Şaka Günü	April Fools' Day
Apulia	Apulia
Apus (takımyıldız)	Apus
Akabe	Aqaba
Kral suyu	Aqua regia
Akuamarin	Aquamarine
Akvaryum	Aquarium
Aquarius (takımyıldız)	Aquarius (constellation)
