Urdu	English
1ء	1
10ء	10
100ء	100
11ء	11
12ء	12
13ء	13
14ء	14
15ء	15
16ء	16
17ء	17
18ء	18
19ء	19
2ء	2
20ء	20
21ء	21
22ء	22
23ء	23
24ء	24
25ء	25
26ء	26
27ء	27
28ء	28
29ء	29
3ء	3
30ء	30
31ء	31
32ء	32
33ء	33
34ء	34
35ء	35
36ء	36
37ء	37
38ء	38
39ء	39
4ء	4
40ء	40
41ء	41
42ء	42
43ء	43
44ء	44
45ء	45
46ء	46
47ء	47
48ء	48
49ء	49
5ء	5
50ء	50
51ء	51
52ء	52
53ء	53
54ء	54
55ء	55
56ء	56
57ء	57
58ء	58
59ء	59
6ء	6
60ء	60
61ء	61
62ء	62
63ء	63
64ء	64
65ء	65
66ء	66
67ء	67
68ء	68
69ء	69
7ء	7
70ء	70
71ء	71
72ء	72
73ء	73
74ء	74
75ء	75
76ء	76
77ء	77
78ء	78
79ء	79
8ء	8
80ء	80
81ء	81
82ء	82
83ء	83
84ء	84
85ء	85
86ء	86
87ء	87
88ء	88
89ء	89
9ء	9
90ء	90
91ء	91
92ء	92
93ء	93
94ء	94
95ء	95
96ء	96
97ء	97
98ء	98
99ء	99
محصولی کسرمناعی متلازمہ	AIDS
گنتارا	Abacus
اسقاط (حمل)	Abortion
ابراہیم علیہ السلام	Abraham
ابراہام لنکن	Abraham Lincoln
تجریدی آرٹ	Abstract art
ابوظہبی	Abu Dhabi
اسی ٹائل کولین	Acetylcholine
اَلفیہ	Achillea millefolium
ایکلیز	Achilles
اکنکاگوا	Aconcagua
آدم سمتھ	Adam Smith
ادینین	Adenine
امیر البحر	Admiral
اڈولف ایش مان	Adolf Eichmann
ہٹلر	Adolf Hitler
ایڈونس	Adonis
بحیرہ ایڈریاٹک	Adriatic Sea
بحیرہ ایجیئن	Aegean Sea
ایس کلس	Aeschylus
ایسپ	Aesop
جمالیات	Aesthetics
افغانستان	Afghanistan
زمرہ:افغانستان	Afghanistan
افریقہ	Africa
زمرہ:افریقہ	Africa
آگرہ	Agra
القاعدہ	Al-Qaeda
الاباما	Alabama
الاسکا	Alaska
البانیا	Albania
البیغ کامو	Albert Camus
البرٹ آئنسٹائن	Albert Einstein
مہق	Albinism
حلب	Aleppo
الیگزنڈر فلیمنگ	Alexander Fleming
الیگزنڈر گراہم بیل	Alexander Graham Bell
پُشکن	Alexander Pushkin
سکندر اعظم	Alexander the Great
الیگزنڈر ڈیوما	Alexandre Dumas
اسکندریہ	Alexandria
الفریڈاعظم	Alfred the Great
طحالب	Algae
الجزائر	Algeria
الحمرا	Alhambra
علی علیہ السلام	Ali
اللہ	Allah
صَبِر	Aloe
حروف تہجی	Alphabet
الپس	Alps
ایلومینا	Aluminium oxide
دریائے ایمیزون	Amazon River
امریکی معیاری رمز براۓ اطلاعاتی تبادلہ	American Standard Code for Information Interchange
جل تھلیل	Amphibian
ایمفی تھیٹر	Amphitheatre
تحلیلی ہندسہ	Analytic geometry
تشریح	Anatomy
اناکسی میندر	Anaximander
سلسلہ کوہ انڈیز	Andes
آندھرا پردیش	Andhra Pradesh
انڈورا	Andorra
اینڈریو جیکسن	Andrew Jackson
انڈریو جانسن	Andrew Johnson
انگولا	Angola
انقرہ	Ankara
ایناپولس، میری لینڈ	Annapolis
اناپورنا	Annapurna
چیونٹی	Ant
انطاکیہ	Antakya
انٹارکٹیکا	Antarctica
ضد حیوی	Antibiotic
ضد (سائنس)	Antibody
اینٹیگوا و باربوڈا	Antigua and Barbuda
ضد مادہ	Antimatter
کحل	Antimony
انتون چیخوف	Anton Chekhov
عدمِ کلام	Aphasia
ایفرودیت	Aphrodite
کرفسان	Apiaceae
اپالو	Apollo
سقوطیت	Apoptosis
اپريل	April
14 اپریل	April 14
پلیہ	Apulia
عرب	Arab
عرب لیگ	Arab League
بحیرہ عرب	Arabian Sea
عربی	Arabic language
بحیرہ ارال	Aral Sea
علم الآثار	Archaeology
ارشمیدس	Archimedes
مجموعہ الجزائر	Archipelago
بحر منجمد شمالی	Arctic Ocean
ارجنٹائن	Argentina
ارسٹوفیز	Aristophanes
ارسطو	Aristotle
حساب	Arithmetic
ایریزونا	Arizona
آرکنساس	Arkansas
آرمینیا	Armenia
زرنیخ	Arsenic
سوزش مفصل	Arthritis
شوپنہائر	Arthur Schopenhauer
ایشیاء	Asia
زمرہ:ایشیاء	Asia
اسمارا	Asmara
جنوب مشرقی ایشیائی اقوام کی تنظیم	Association of Southeast Asian Nations
اشوریہ	Assyria
نجمان	Asteraceae
سیارچے	Asteroid
دمہ	Asthma
حیاتیات خلا	Astrobiology
زمرہ:فلکیات	Astronomy
ایتھنے	Athena
ایتھنز	Athens
اٹلانٹا، جارجیا	Atlanta
بحر اوقیانوس	Atlantic Ocean
ایٹلس	Atlas (mythology)
کوہ اطلس	Atlas Mountains
ہوا کا دباؤ	Atmospheric pressure
جوہری نمبر	Atomic number
ایٹلا	Attila the Hun
اگست	August
آگسٹس	Augustus
آسٹن، ٹیکساس	Austin
آسٹریلیا	Australia
آسٹریا	Austria
خود متحرک	Automobile
اوتار	Avatar
ابن رشد	Averroes
ابن سینا	Avicenna
محوار	Axon
آیت اللہ	Ayatollah
آذربائیجان	Azerbaijan
بابل	Babylon
بابی لونیا	Babylonia
بیڈمنٹن	Badminton
بغداد	Baghdad
بحرین	Bahrain
بلقان	Balkans
بماکو	Bamako
بنگلور	Bangalore
بنگلہ دیش	Bangladesh
بارباڈوس	Barbados
بیس بال	Baseball
بازیلیکاتا	Basilicata
بصرہ	Basra
باستیل	Bastille
چمگادڑ	Bat
بیٹون روج، لوزیانا	Baton Rouge
Car battery	Battery (electricity)
واٹر لو	Battle of Waterloo
بیروت	Beirut
بیلارس	Belarus
بلجئیم	Belgium
بینیلکس	Benelux
بینن	Benin
بینیتو موزولینی	Benito Mussolini
بنجمن ڈزریلی	Benjamin Disraeli
بنجمن فرینکلن	Benjamin Franklin
برلن	Berlin
مثلث برمودا	Bermuda Triangle
بیٹا تنزل	Beta decay
بائبل	Bible
انفجارعظیم	Big Bang
بہار (بھارت)	Bihar
بل کلنٹن	Bill Clinton
بل گیٹس	Bill Gates
حیاتی کیمیاء	Biochemistry
زمرہ:حیاتی کیمیاء	Biochemistry
حیاتیاتی ہتھیار	Biological warfare
حیاتیات	Biology
زمرہ:حیاتیات	Biology
حیاتی طرزیات	Biotechnology
بسمارک، شمالی ڈکوٹا	Bismarck
بسمیتھ	Bismuth
بساؤ	Bissau
بحیرہ اسود	Black Sea
ثقب اسود	Black hole
پاسکل	Blaise Pascal
مدونہ	Blog
آبدم	Blood plasma
بلڈ گروپ	Blood type
نیلا	Blue
نیلی وھیل	Blue Whale
نقطہ کھولاؤ	Boiling point
بوئس، ایڈاہو	Boise
بولیویا	Bolivia
بلونیا	Bologna
بالشویزم	Bolshevik
کتاب	Book
بومر ینگ	Boomerang
بورنیو	Borneo
بوسون	Boson
آبنائے باسفورس	Bosporus
بوسٹن	Boston
نباتیات	Botany
زمرہ:نباتیات	Botany
بوٹسوانا	Botswana
بورژوا	Bourgeoisie
مکے بازی	Boxing
خطوط وحدانی	Bracket
برہما	Brahma
دریائے برہم پتر	Brahmaputra River
بریل سسٹم	Braille
دماغ	Brain
برازیل	Brazil
سرطان پستان	Breast cancer
سلطنت برطانیہ	British Empire
طاعون	Bubonic plague
بدھ مت	Buddhism
بوجومبرا	Bujumbura
بلغاریہ	Bulgaria
دفتری حکومت	Bureaucracy
برکینا فاسو	Burkina Faso
میانمار	Burma
بس	Bus
بائٹ	Byte
ابطن	Cache
قاہرہ	Cairo
کلابریا	Calabria
حسابان	Calculus
تقویم	Calendar
کیلی فورنیا	California
کمبوڈیا	Cambodia
اونٹ	Camel
عکاسہ	Camera
کیمرون	Cameroon
کمپانیہ	Campania
کینیڈا	Canada
زمرہ:کینیڈا	Canada
سرطان (عارضہ)	Cancer
