Volapuk	English
1000	1000
1728	1728
A	A
Aachen	Aachen
Aalborg	Aalborg
Århus	Aarhus
Aberdeen (Skotän)	Aberdeen
Abidjan	Abidjan
Labkasän	Abkhazia
Äbu Saby	Abu Dhabi
Äbu Saby	Abu Dhabi (emirate)
Acapulco	Acapulco
Accra	Accra
Acre	Acre (state)
Adelaide	Adelaide
Lafganistän	Afghanistan
Agrigento	Agrigento
Ain	Ain
Akira Kurosawa	Akira Kurosawa
Alabama	Alabama
Alan Turing	Alan Turing
Alaska	Alaska
Lalbanän	Albania
Albany (New York)	Albany
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Alberta	Alberta
Albuquerque	Albuquerque
Alexander Pujkin	Alexander Pushkin
Alfred Hitchcock	Alfred Hitchcock
Laljerän	Algeria
Cäsair	Algiers
Amman	Amman
Amsterdam	Amsterdam
Anaheim	Anaheim
Anchorage (Alaska)	Anchorage
Landorän	Andorra
Andy Warhol	Andy Warhol
Langolän	Angola
Ankara	Ankara
Annapolis (Maryland)	Annapolis
Antakya	Antakya
Lantigeän e Barbudeän	Antigua and Barbuda
Antofagasta	Antofagasta
Anton Bruckner	Anton Bruckner
Anton Cehov	Anton Chekhov
Antonio Vivaldi	Antonio Vivaldi
Antwerpen (zif)	Antwerp
Antwerpen (provin)	Antwerp (province)
Apia	Apia
Apollo	Apollo (disambiguation)
Matemat pajäfüköl	Applied mathematics
Prilul	April
Prilul 14	April 14
Arcangelo Corelli	Arcangelo Corelli
Vönotav	Archaeology
Arkimedes	Archimedes
Ardennes	Ardennes (department)
Largäntän	Argentina
Klad:Largäntän	Argentina
Aristoteles	Aristotle
Arizona	Arizona
Arkansas	Arkansas
Arles	Arles
Larmeniyän	Armenia
Klad:Larmeniyän	Armenia
Arnhem	Arnhem
Arras	Arras
Arthur Rimbaud	Arthur Rimbaud
Klad:Lekans	Arts
Siyop	Asia
Astana	Astana
Stelav	Astronomy
Atlanta	Atlanta
Au	Au
Gustul	August
Gustul 1	August 1
