English	Norwegian
AIDS	AIDS
Abidjan	Abidjan
Abkhaz	abkhasisk
Abkhazia	Abkhasia
Abraham	Abraham
Abu Dhabi	Abu Dhabi
Adam	Adam
Afghanistan	Afghanistan
Afrikaans	afrikaans
Al Jazeera	Al-Jazeera
Alaska	Alaska
Albania	Albania
Alberta	Alberta
Alexander	Alexander; Aleksander
Algeria	Algerie
Allah	Allah (m)
American	amerikaner (m); amerikanere (m)
American bison	amerikansk bison
Amsterdam	Amsterdam
Amur	Amur
Andorra	Andorra
Andrew	Andreas; Anders
Anglo	gammelengelsk
Angola	Angola
Ankara	Ankara
Antarctica	Antarktis
Antigua and Barbuda	Antigua og Barbuda
April	april
Arab	araber
Arctic Ocean	Nordishavet
Argentina	Argentina
Argonaut	Argonaut
Arkhangelsk	Arkhangelsk
Armenia	Armenia
Asclepius	Asklepios
Asia	Asia
Athena	Athene (f)
Athens	Aten; Athen
August	august
Australia	Australia
Austria	Østerrike; Austerrike 
Aymara	aymara
Azerbaijan	Aserbajdsjan
Bahamas	Bahamas
Bahrain	Bahrain
Baku	Baku
Balearic Islands	Balearene
Bambara	bambara
Bangladesh	Bangladesh
Barbados	Barbados
Bashkir	basjkirsk
Basque	baskisk
Beijing	Beijing; Peking; Pekin
Beirut	Beirut
Belarus	Hviterussland; Kviterussland; Belarus
Belarusian	hviterussisk
Belgium	Belgia
Belgrade	Beograd; Belgrad
Belize	Belize
Belorussian	hviterussisk
Benin	Benin
Berlin	Berlin
Bermuda	Bermuda
Bhutan	Bhutan
Bible	bibel (m)
Black Death	svartedauden 
Black Sea	Svartehavet (n)
Bolivia	Bolivia
Bosnia and Herzegovina	Bosnia-Hercegovina
Bosphorus	Bosporos
Botswana	Botswana
Brazil	Brasil
Breton	Bretonsk; Bretangsk
British Columbia	Britisk Columbia
Brunei	Brunei
Brussels	Brussel
Bulgaria	Bulgaria
Burkina Faso	Burkina Faso
Burma	Burma
Burundi	Burundi
Byzantine Empire	Østromerriket
Cambodia	Kambodsja
Canada	Canada
Cape Verde	Kapp Verde 
Caracalla	Caracalla
Carthage	Karthago
Caspian Sea	Kaspihavet
Catalan	katalansk
Caucasus	Kaukasia
Central African Republic	Den sentralafrikanske republikk
Chad	Tsjad
Chechen	tsjetsjensk
Chernobyl	Tsjernobyl
Chile	Chile
China	Kina
Chinese	kineser
Chisinau	Chișinău
Christ	Kristus (m)
Christadelphian	kristadelfianer (m)
Christianity	Kristendom (n)
Christmas	jul
Christmas tree	juletre (n)
Christopher	Kristoffer
Cinderella	Askepott
Coca	Coca-Cola
Cold War	Den kalde krigen
Colombia	Colombia
Constantinople	Konstantinopel
Copenhagen	København
Costa Rica	Costa Rica
Crimea	Krim
Croatia	Kroatia
Cuba	Cuba
Cyprus	Kypros
Czech Republic	Tsjekkia; Den tsjekkiske republikk
Czechia	Tsjekkia
Czechoslovakia	Tsjekkoslovakia
Damascus	Damaskus
David	David
Dead Sea	Dødehavet
December	desember
Denmark	Danmark 
Diaspora	diaspora
Dominica	Dominica
Dominican Republic	Den dominikanske republikk
Donald Duck	Donald Duck
Earth	jorden (m)
East Timor	Øst-Timor 
Easter	påske
Easter Island	Påskeøya
Eastern Europe	Øst-Europa
Ecuador	Ecuador
Edmonton	Edmonton
Egypt	Egypt
El Salvador	El Salvador
England	England
Englishman	engelskmann (m)
Equatorial Guinea	Ekvatorial-Guinea 
Esperanto	esperanto
Estonia	Estland
Ethiopia	Etiopia 
Eurasia	Eurasia (n)
Europe	Europa
European	europeer (m)
European Union	Europeiske Union
European bison	europeisk bison
Eve	Eve
Far East	Det fjerne østen
Faroe Islands	Færøyene
February	februar
Fiji	Fiji
Finland	Finland
France	Frankrike 
Francis	Frans
Frederick	Fredrik
French	franskmenn (m)
Friday	fredag
Gabon	Gabon
Gambia	Gambia
Ganges	Ganges
Gaza Strip	Gazastripen (m)
George	Georg; Jørgen
Georgia	Georgia
German Shepherd	schäferhund (m)
Germany	Tyskland; Føderale Republikken Tyskland
Ghana	Ghana
Ghent	Gent
Gibraltar	Gibraltar
Gnosticism	gnostisisme (m)
Goa	Goa
God	Gud (m); Herre
Good Friday	langfredag
Great Britain	Storbritannia
Great Pyramid of Giza	Kheopspyramiden
Greece	Hellas; Grekenland
Greek	Gresk; Hellenesk
Grenada	Grenada
Guatemala	Guatemala
Guinea	Guinea-Bissau
Gulf of Finland	Finskebukta
Guyana	Guyana
Haiti	Haiti
Happy Easter	God Påske
Happy New Year	godt nytt år
Hebrew	hebraisk
Hertzsprung	Hertzsprung-Russel-diagram (n)
Hezbollah	Hizbollah
