English	Sanskrit
Afghanistan	अफगानस्थान (aphagānasthāna)
Africa	अफ्रीका
Alaska	अलास्‍का (Alāskā)
Almighty	सर्वशक्त (m) (Sarvazakta)
Angkor Wat	अंगकोर वाट
April	आंग्लवर्षस्य चतुर्थमास (āṅglavarṣasya caturthamāsaḥ)
Argentina	अर्जन्टीना
Armenia	आर्मीनिया (ārmīniyā)
Arunachal Pradesh	अरुणाचल प्रदेश
Aryan	आर्य (ā́rya)
Asia	एशिया
Assamese	असमिया
Australia	आस्ट्रेलिया (āsṭreliyā)
Azerbaijan	अजर्बैजान (ajerbējān)
Belarus	बेलारूस (belārūsa)
Belgium	बेल्जियम
Bharat	भारतम् (bhāratam)
Brahma	ब्रह्मन् (m) (bráhman)
Buddha	बुद्ध (m) (Buddha)
Canada	केनडा (kenaḍā)
China	चीन (čīn)
Devanagari	देवनागरी (f) (devánāgarī)
East Asia	पूर्वी एशिया (n) (pūrvī Eśiyā)
Estonia	एस्टोनिया
Finland	फिन्लैंड (phinlaiṇḍa)
France	फ्रांस (phrānsa)
Ganesha	गणेश (m) (gaṇeśa); गणपतिं (m) (gaṇapatĩ); गणपति (m) (gaṇapati)
Ganges	गङ्गा (f) (gáṅgā)
Goa	गोवा
Google	गूगल (n) (Gūgala)
Greece	यवनदेशः (yavanadeśaḥ)
Gujarati	गुजराती (gujarātī)
Hanuman	हनुमान् (m)
Himalayas	हिमालय (Himālaya)
Hitler	हिटलर (hiṭlar)
I	अहम (aham)
I love you	त्वयि स्निह्यामि (tvayi snihyāmi)
Iceland	आइसलैंड
India	भारत (bhārata); भारतवर्ष (n) (bhāratavarṣa)
Indonesia	इन्दोनेशिया
Iran	ईरान (īrāna)
Israel	इस्रेल; इस्रेल (isrēla)
Italy	इटली (italī)
Jainism	जैन धर्म (jéna dharma)
Jamaica	जमैका
Japan	जापान
Kali	काली (Kālī)
Kamasutra	कामसूत्र (n) (kā́ma-sūtra)
Kannada	कन्नड
Karnataka	कर्णाटक
Krishna	कृष्ण (m) (kṛṣṇá)
Lakshmi	लक्ष्मी (lakṣmī)
Lenin	लेनिन (lēnina)
Louisiana	लुईजियाना
Madhya Pradesh	मध्य प्रदेश
Maharashtra	महाराष्ट्र (Mahārāṣṭra)
Malayalam	मलयाळम्
Malaysia	मलयेशिया
Marx	मार्क्स
Miss	कुमाऋ (kumāri)
Moldova	मोल्दोवा (moldovā)
Muhammad	मुहम्मद (muhammada)
Mumbai	बम्बई (bamba'ī)
Namibia	नमीबिया
Nepal	नेपाल (nepāla)
Netherlands	नेदरलैंड्स
Newari	नेपाल भाषा (f) (Nepāla bhāṣā)
O	हे (he)
Odisha	उड़ीसा (uṛīsā)
Oriya	ओडिया
Philippines	फिलिपीन्स (philipīnsa)
Pichilemu	पित्सिलेमु (Pitsilemu)
Pleiades	ऋक्षाः (m)
Poland	पोलैंड (polaiṇḍa)
Puducherry	पाण्डीचेरी
Putin	पुटिन
Russian	रूसी भाषा (rūsī bhāṣā)
Sanskrit	संस्कृत (n) (saṃ-skṛtá)
Saturn	शनि (śani)
Senegal	सेनेगल
Shimla	शिमला
Shiva	शिव (m) (śivá)
Sikkim	सिक्किम
Singh	सिंह (siṃhá)
South Asia	दक्षिण एशिया (n) (dakṣiṇ eśiyā)
Southeast Asia	दक्षिण पूर्व एशिया (n) (dakṣiṇa pūrva Eśiyā)
Srinagar	श्रीनगर
Stalin	स्टालिन (sṭālina)
Sweden	स्वीडन (svīḍana)
Syria	सिरिया (siriyā)
Taiwan	तैवान
Tajikistan	ताजिकिस्थान (tājikisthāna)
Tanzania	टंजानिया
Telugu	तेलुगु
Uzbekistan	उजबेकिस्थान
Vayu	वायु (Vāyú)
Veda	वेद (m) (véda)
Venus	शुक्र
Vishnu	विष्णु (m) (víṣṇu)
Wikipedia	विकिपीडिया (n) (Vikipīḍiyā)
World Wide Web	विश्वव्यापीजाल (m) (Viśvavyāpījāla)
Yahoo!	याहू! (n) (yāhū!)
