English	Serbian
Abkhaz	Абхаз (m) (Abhaz)
Aboriginal	абориџин (m) (aboridžin); домородац (m) (domorodac)
Abyssinia	Абисинија (f) (Abisinija)
Achilles heel	Ахилова пета (f) (Ahilova peta)
Achilles tendon	Ахилова тетива (f) (Ahilova tetiva)
Adam	Адам (m) (Adam)
Adam and Eve	Адам и Ева (m)
Adolph	Адолф (m) (Adolf)
Aegidius	Егидије
Alexandroupoli	Александруполис; Алексадрополи
Alice	Alisa (f)
Amazon	Амазонка (f) (Amazonka)
American	amerikanac (m), amerikanka (f), amerikanče (n)
Andrew	Andrija; Andrej
Angkor Wat	Ангкор Ват
Antichrist	Антихрист
Apuleius	Апулеј/Apulej
Argonaut	Аргонаути
Arian	аријански (m)
Armenian SSR	Јерменска ССР (Jermenska SSR)
Asclepius	Асклепије (Asklepije)
Aymara	ајмара
Azerbaijani	азербејџански (azerbejdžanski)
BBC	Би-би-си (m) (Bi-bi-si)
Bambara	Бамана; Бамбара 
Bartholomew	Вартоломеј
Belarusian	белоруски 
Belorussian	Белоруски (Beloruski)
Big Dipper	Велика кола (f) (Velika kola)
Black Death	црна смрт (f); crna smrt (f)
Bluetooth	блутут (m) (blutut); бљутут (m)
Bosphorus	Босфор (Bosfor) (m)
Bronze Age	бронзано доба (n) (bronzano doba)
Buffalo	Бафало (Bafalo)
Bush	Буш (m)
Byzantine Empire	Византијско царство (Vizantijsko carstvo) (n)
Care Bears	Mece Dobrići
Carthage	Картагина (f)
Catalan	katalonski (m)
Caucasus	Кавказ (m)
Chechen	чеченски (čečenski) (m), чеченски језик (čečenski jezik) (m)
Chicago	Чикаго
Cinderella	Pepeljuga (f)
Coca	Кока-кола (f)
Comintern	Коминтерна
Common Slavonic	прасловенски језик (praslovenski jezik) (m)
Crusade	крсташки поход (m); крсташки рат (m)
Curitiba	Куритиба
David	Краљ Давид
Dead Sea	Мртво море (n) (Mrtvo more)
Demetrius	Димитрие (m)
Derek	Теодорик
Diaspora	дијаспора
Didymoteicho	Дидимотика (Didimotika)
Disneyland	Дизниленд (m)
Dmitry	Димитрие (m)
Donald Duck	Паја Патак
Earthling	Земљанин (m) (Zemljanin); Земљанка (f) (Zemljanka)
Easter egg	Uskršnje jaje
Eastern Europe	Источна Европа (f)
Edmonton	Едмонтон (Edmonton)
Egyptian	египћански (egipćanski)
Einstein	Ајнштајн (m) (Ajnštajn)
Elizabeth	Јелисавета, Jelisaveta
European bison	еуропски бизон (europski bizon), tur (m)
Eve	Ева (f) (Eva)
Fallopian tube	jajovod (m)
Faroe Islands	Фарска Острва (m)
Finnish	Фински (Finski)
Francis	Фрањо
Frederick	Фридрих
Frisbee	frizbi
GDP	БДП
Gatling gun	Гетлингов систем (m)
Gaza Strip	појас Газе (pojas Gaze)
German	Немац (m); nemac (m)
Ghent	Гент
Giles	Егидије
God	Бог (m) (Bog); Господ (m) (Gospod)
Godfrey	Готфрид
Grandmaster	велемајстор (m) (velemajstor)
Great Pyramid of Giza	Велика Кеопсова пирамида (f) (Velika Keopsova piramida)
Greek Orthodox Church	Грчка православна црква (Grčka pravoslavna crkva)
Greenlandic	гренландски језик (m)
Herodotus	Херодот (Herodot)
Hezbollah	Хезболах (Hezbollah)
Hitler	Хитлер (m) (Hitler)
Hokkaido	Хокаидо
Holocaust	холокауст (holokaust) (m)
Holy Grail	Sveti Gral/Zdela (m)
Human Resource Management	Менаџмент људских ресурса, Menadžment ljudskih resursa
Hypnos	Хипнос (m) (Hipnos)
I think therefore I am	Мислим, дакле постојим (Mislim, dakle postojim); Мислим, дакле јесам (Mislim, dakle jesam)
Ignatius	Игнац
Ionian Sea	Јонско море (Jonsko more)
Isaac	Ајзак (m) (Ajzak)
Ivan	Иван (m) (Ivan)
Jackson	Џексон (m) (Džekson)
Java	Џава (f) (Džáva); Јава (f) (Jáva); Java (f) (Džáva, Jáva)
Jew	Јеврејин (m) (Jevrejin)
Joachim	Јоаким (Joakim)
Joseph	Јосиф
K2	К2
Kampuchea	Кампучија; (f) Камбоџа 
Kannada	канада 
Kavala	Кавала (Kavala)
Kharkiv	Харков (m) (Harkov); Харкив (m) (Harkiv)
Khartoum	Картум (Kartum) (m)
Khrushchev	Хрушчов, Hruščov
Klingon	клингонски (m) (klingonski)
Komotini	Комотини (Komotini)
LGBT	ЛГБТ
Laocoön	Лаоконт
Libra	Вага (f)
Los Angeles	Лос Анџелес (m)
Louvain	Лувен
Lutheran	лутеран (m)
Lyons	Лион
Magna Carta	Магна карта (f)
Malayalam	малајалам 
Marshall Islands	Маршалска острва (Maršalska ostrva)
Martian	Марсовац (m) (Marsovac); Марсовка (f) (Marsovka)
Marxism	марксизам (m) (marksizam)
Mary	Марија (Marija)
Matthew	Матеј
Meuse	Меза (Meza) (f)
Monastir	Битољ (Bitolj)
Morpheus	Морфеј
Mount Everest	Монт Еверест (m)
Muggle	Normalac (m)
Möbius strip	мебијусова трака (f)
NATO	НАТО; NATO
Nagasaki	Нагасаки
Naypyidaw	Nai Pai To
New Guinea	Нова Гвинеја (Nova Gvineja)
Newspeak	новоговор (m) (novogovor)
Nicholas	Никола (Nikola)
Nogai	ногајци
Northern Europe	Северна Европа (f) (Severna Evropa)
Obama	Обама (Obama)
Old Church Slavonic	староцрквенословенски (starocrkvenoslovenski), старословенски језик (staroslovenski jezik)
Old Slavonic	прасловенски језик (praslovenski jezik) (m)
Oliver	ОпіЪер (Oliber)
Olivia	Оливија (Olivija)
Olympic Games	Олимпијске игре 
Orinoco	Ориноко (f)
Orthodox	православље (n)
Patras	Патра (Patra)
Pericles	Perikles (m)
Persephone	Персефона (f) (Persefona)
Pleiades	Плејаде
Prince Charming	princ na belom konju (m)
Proto	прасловенски језик (praslovenski) (m)
Quidditch	Квидич (Kvidič)
Reich	Рајх (m); Царство (n); Империја (f)
Roger	Руђер
Roma	Роми
Ryan	Рајан
Sabbath	врзино коло (n); vrzino kolo (n)
Sanskrit	санскрит (m)
Saskatoon	Саскатун
Saturday	субота (f); subota (f)
Serbian	Србин (m) (Srbin); Српкиња (f) (Srpkinja); Srbin (m); Srpkinja (f); Srbijanka (f); Srbijanci
Sicily	Сицилија
Sleeping Beauty	Uspavana lepotica (f)
Slovak	Slovak (m); Slovakinja (f)
Socrates	Сократ 
Sophocles	Софокле (m) (Sofokle)
Southeast Asia	Југоисточна Азија (Jugoistočna Azija) (f)
Southern Europe	Јужна Европа
Spanish	шпански језик
Sparta	Спарта
Sri Jayawardenepura Kotte	Сри Џајаварденепура Коте
Stalin	Стаљин (m) (Staljin)
Stanislaus	Станислав
Sudeten	Судети
Sudetenland	Судетска област
