Norwegian	﻿English
AIDS	AIDS
Abidjan	Abidjan
abkhasisk	Abkhaz
Abkhasia	Abkhazia
Abraham	Abraham
Abu Dhabi	Abu Dhabi
Adam	Adam
Afghanistan	Afghanistan
afrikaans	Afrikaans
Al-Jazeera	Al Jazeera
Alaska	Alaska
Albania	Albania
Alberta	Alberta
Alexander; Aleksander	Alexander
Algerie	Algeria
Allah (m)	Allah
amerikaner (m); amerikanere (m)	American
amerikansk bison	American bison
Amsterdam	Amsterdam
Amur	Amur
Andorra	Andorra
Andreas; Anders	Andrew
gammelengelsk	Anglo
Angola	Angola
Ankara	Ankara
Antarktis	Antarctica
Antigua og Barbuda	Antigua and Barbuda
april	April
araber	Arab
Nordishavet	Arctic Ocean
Argentina	Argentina
Argonaut	Argonaut
Arkhangelsk	Arkhangelsk
Armenia	Armenia
Asklepios	Asclepius
Asia	Asia
Athene (f)	Athena
Aten; Athen	Athens
august	August
Australia	Australia
Østerrike; Austerrike 	Austria
aymara	Aymara
Aserbajdsjan	Azerbaijan
Bahamas	Bahamas
Bahrain	Bahrain
Baku	Baku
Balearene	Balearic Islands
bambara	Bambara
Bangladesh	Bangladesh
Barbados	Barbados
basjkirsk	Bashkir
baskisk	Basque
Beijing; Peking; Pekin	Beijing
Beirut	Beirut
Hviterussland; Kviterussland; Belarus	Belarus
hviterussisk	Belarusian
Belgia	Belgium
Beograd; Belgrad	Belgrade
Belize	Belize
hviterussisk	Belorussian
Benin	Benin
Berlin	Berlin
Bermuda	Bermuda
Bhutan	Bhutan
bibel (m)	Bible
svartedauden 	Black Death
Svartehavet (n)	Black Sea
Bolivia	Bolivia
Bosnia-Hercegovina	Bosnia and Herzegovina
Bosporos	Bosphorus
Botswana	Botswana
Brasil	Brazil
Bretonsk; Bretangsk	Breton
Britisk Columbia	British Columbia
Brunei	Brunei
Brussel	Brussels
Bulgaria	Bulgaria
Burkina Faso	Burkina Faso
Burma	Burma
Burundi	Burundi
Østromerriket	Byzantine Empire
Kambodsja	Cambodia
Canada	Canada
Kapp Verde 	Cape Verde
Caracalla	Caracalla
Karthago	Carthage
Kaspihavet	Caspian Sea
katalansk	Catalan
Kaukasia	Caucasus
Den sentralafrikanske republikk	Central African Republic
Tsjad	Chad
tsjetsjensk	Chechen
Tsjernobyl	Chernobyl
Chile	Chile
Kina	China
kineser	Chinese
Chișinău	Chisinau
Kristus (m)	Christ
kristadelfianer (m)	Christadelphian
Kristendom (n)	Christianity
jul	Christmas
juletre (n)	Christmas tree
Kristoffer	Christopher
Askepott	Cinderella
Coca-Cola	Coca
Den kalde krigen	Cold War
Colombia	Colombia
Konstantinopel	Constantinople
København	Copenhagen
Costa Rica	Costa Rica
Krim	Crimea
Kroatia	Croatia
Cuba	Cuba
Kypros	Cyprus
Tsjekkia; Den tsjekkiske republikk	Czech Republic
Tsjekkia	Czechia
Tsjekkoslovakia	Czechoslovakia
Damaskus	Damascus
David	David
Dødehavet	Dead Sea
desember	December
Danmark 	Denmark
diaspora	Diaspora
Dominica	Dominica
Den dominikanske republikk	Dominican Republic
Donald Duck	Donald Duck
jorden (m)	Earth
Øst-Timor 	East Timor
påske	Easter
Påskeøya	Easter Island
Øst-Europa	Eastern Europe
Ecuador	Ecuador
Edmonton	Edmonton
Egypt	Egypt
El Salvador	El Salvador
England	England
engelskmann (m)	Englishman
Ekvatorial-Guinea 	Equatorial Guinea
esperanto	Esperanto
Estland	Estonia
Etiopia 	Ethiopia
Eurasia (n)	Eurasia
Europa	Europe
europeer (m)	European
Europeiske Union	European Union
europeisk bison	European bison
Eve	Eve
Det fjerne østen	Far East
Færøyene	Faroe Islands
februar	February
Fiji	Fiji
Finland	Finland
Frankrike 	France
Frans	Francis
Fredrik	Frederick
franskmenn (m)	French
fredag	Friday
Gabon	Gabon
Gambia	Gambia
Ganges	Ganges
Gazastripen (m)	Gaza Strip
Georg; Jørgen	George
Georgia	Georgia
schäferhund (m)	German Shepherd
Tyskland; Føderale Republikken Tyskland	Germany
Ghana	Ghana
Gent	Ghent
Gibraltar	Gibraltar
gnostisisme (m)	Gnosticism
Goa	Goa
Gud (m); Herre	God
langfredag	Good Friday
Storbritannia	Great Britain
Kheopspyramiden	Great Pyramid of Giza
Hellas; Grekenland	Greece
Gresk; Hellenesk	Greek
Grenada	Grenada
Guatemala	Guatemala
Guinea-Bissau	Guinea
Finskebukta	Gulf of Finland
Guyana	Guyana
Haiti	Haiti
God Påske	Happy Easter
godt nytt år	Happy New Year
hebraisk	Hebrew
Hertzsprung-Russel-diagram (n)	Hertzsprung
