Scottish	﻿English
galar na seirg (m); Annlochd Inneamh Dìon-Slàinte (f)	AIDS
Abrahàm (m)	Abraham
Adhamh	Adam
Afganastan	Afghanistan
Afraga (m)	Africa
Afragàns	Afrikaans
Albàinia	Albania
Ailbeart	Albert
Alasdair	Alexander
Algeria	Algeria
Aimeireaga (f)	America
Ameireaganach	American
bìoson Ameireaganach (m)	American bison
Andorra	Andorra
Anndra (m); Aindrea (m)	Andrew
Angola	Angola
Anna	Ann
Antigua agus Barbuda	Antigua and Barbuda
Giblean (m)	April
Fear Giùlan Uisge (m)	Aquarius
Arabach (m)	Arab
Arabach	Arabic
Argentina	Argentina
Airmìnia	Armenia
Àisia (f); Aisia	Asia
An Cuan Mòr (m), An Cuan Siar (m), An Tàbh (m)	Atlantic Ocean
Lùnastal (m)	August
Astràilia	Australia
Ostair (f)	Austria
Asarbaidean	Azerbaijan
na Bahàmas	Bahamas
Bahrain	Bahrain
Bealaruis (f)	Belarus
Bealaruisis	Belarusian
A' Bheilg	Belgium
Berlin#Scottish Gaelic'Berlin	Berlin
Bermuda	Bermuda
Bioball (f)	Bible
Am Bàs Dubh	Black Death
Breatannais (f)	Breton
A' Bhruiseal	Brussels
Canada	Canada
Catalanais	Catalan
Sìona (f) 	China
Sìonach (m)	Chinese
Criosda (m)	Christ
Crìosdaidh (m)	Christian
Crìosdaidheachd (f)	Christianity
Nollaig (f)	Christmas
Crìsdean (m)	Christopher
Cogadh na Croise (m)	Crusade
Seiceach	Czech
(f)	Czech Republic
Danmhairgeach (m)	Dane
Danmhairgis (f)	Danish
Dàibhidh	David
Dùbhlachd (f)	December
(f)	Denmark
Baile Átha Cliath	Dublin
cruinne-cè (m); talamh (m)	Earth
Càisg (f); Caisg	Easter
Edmonton	Edmonton
Ealasaid	Elizabeth
Sasainn (f); (m)	England
Sasannaich (m)	English
Sasannach (m)	Englishman
Ban-Sasannach (f)	Englishwoman
Eastòinia	Estonia
Roinn-Eòrpa (f)	Europe
Aonadh na h-Eòrpa (m)	European Union
Eubha	Eve
Eileanan Fàro (m)	Faroe Islands
Fàrothais (f)	Faroese
Gearran	February
Fionnlainn (f); Suòmaidh (f)	Finland
Suòmach (m); Fionnlainneach (m)	Finn
Suòmais (f); Fionnlainnis (f)	Finnish
An Fraing'Fhraing	France
Freardorcha	Frederick
Frangach	French
Dihaoine (m)	Friday
Raon Ghàsa	Gaza Strip
Seòras, Seòrsa, Deòrsa, Dod	George
Baile Dheòrsa	Georgetown
Gearmailteach	German
Gearmailt (f)	Germany
Dihaoine na Càisge (m)	Good Friday
Breatainn Mhòr (f)	Great Britain
A' Ghrèig 	Greece
Oidhche Shamhna (f)	Halloween
Bliadhna Mhath Ùr	Happy New Year
Eabhra (f)	Hebrew
uile-losgadh'Uile-losgadh (m)	Holocaust
Hong Cong	Hong Kong
Ungaireach (m)	Hungarian
mi 'normal', mise 'emphatic'	I
Tha gaol agam ort (familiar), Tha gaol agam oirbh '(formal/plural)'	I love you
Innis Tìle (f)	Iceland
Tìlis (f)	Icelandic
Innseanach (m)	Indian
Cuan Innseanach (m)	Indian Ocean
Aibidil Fhogharach Eadar-Nàiseanta (f)	International Phonetic Alphabet
eadar-lìon (m); Eadar-lìon (m)	Internet
Èirinn (f)	Ireland
Gaeilge (f)	Irish
Cuan na h-Eireann (m); Muir Mheann (m)	Irish Sea
Eilean Mhanainn; Manainn	Isle of Man
Iosrael (f)	Israel
Eadailteach	Italian
(f)	Italy
Seumas (m)	James
Faoilleach	January
Iapan	Japan
Iosa	Jesus
Iosa Criosd (m)	Jesus Christ
Iùdhach (m)	Jew
Iùdhach	Jewish
Iain (m)	John
Eòsaph	Joseph
iùdhachas (m)	Judaism
Iuchar (m)	July
Ògmhios (m)	June
LCDT	LGBT
Laidinn	Latin
aibidil Ròmanach (f); aibidil Laideann (f)	Latin alphabet
Leòmhann (m)	Leo
Meidh	Libra
Lunnainn	London
Tighearna (m)	Lord
mac an duine (m)	Man
Mandairinis (f)	Mandarin
cat Manainneach	Manx cat
Màrt (m)	March
Màiri	Mary
Cèitean (m); Cèit	May
A' Mhuir Mheadhanach (f)	Mediterranean Sea
Nollaig Chridheil	Merry Christmas
Nollaig Chridheil agus Bliadhna Mhath Ùr	Merry Christmas and a Happy New Year
Meagsago	Mexico
Mìcheal (m)	Michael
an Ear Mheadhan (f)	Middle East
Sgrìob Chlann Uis (f), Slighe Chlann Uisnich (f)	Milky Way
maighdeann 	Miss
Di-luain (m)	Monday
Gealach (f)	Moon
Mosgo	Moscow
Beinn Everest	Mount Everest
Mgr	Mr
Mgr	Mr.
A' Bh	Mrs
Muhammad	Muhammad
Naimibia	Namibia
navajo	Navajo
An Olaind (f); An Talamh Ìseal (m)	Netherlands
Tiomnadh Nuadh (m)	New Testament
Bliadhna Ùr (f)	New Year
Eabhraig Nuadh	New York City
Neacail	Nicholas
Aimeireaga-a-Tuath (f)	North America
Cuan a Tuath	North Sea
Eirinn mu Thuath (f)	Northern Ireland
Nirribhidh (f); Lochlann (m)	Norway
Nirribheach; Lochlannach	Norwegian
Samhain (f)	November
Dàmhair (f)	October
An Cuan Sèimh (m)	Pacific Ocean
Pòl	Paul
Na h-Iasgan (m'p)	Pisces
Seachd-Reultan (f)	Pleiades
Pòlainn (f)	Poland
Pòlainneach (m)	Pole
Pòlainneach	Polish
Pythagoras	Pythagoras
Ròmanach	Roman
Ruis	Russia
Ruiseanach	Russian
