مِن (min)‎, preposition
ٱللَّه (l-lah)‎, proper noun
فِي (fī)‎, preposition
إِنّ (ʾinn)‎, accusative particle
عَلَىٰ (ʿalā)‎, preposition
ٱلَّذِي (llaḏī)‎, relative pronoun
لَا (lā)‎, negative particle
مَا (mā)‎, relative pronoun
رَبّ (rabb)‎, noun
إِلَىٰ (ʾilā)‎, preposition
مَا (mā)‎, negative particle
مَن (man)‎, relative pronoun
إِن (ʾin)‎, conditional particle
أَن (ʾan)‎, subordinating conjunction
إِلَّا (ʾillā)‎, restriction particle
ذَٰلِك (ḏālik)‎, demonstrative pronoun
عَن (ʿan)‎, preposition
أَرْض (ʾarḍ)‎, noun
قَد (qad)‎, particle of certainty
إِذَا (ʾiḏā)‎, time adverb
قَوْم (qawm)‎, noun
ءَايَة (ʾāya)‎, noun
أَنّ (ʾann)‎, accusative particle
كُلّ (kull)‎, noun
لَم (lam)‎, negative particle
ثُمّ (ṯumm)‎, coordinating conjunction
رَسُول (rasūl)‎, noun
لَا (lā)‎, prohibition particle
يَوْم (yawm)‎, noun
عَذَاب (ʿaḏāb)‎, noun
هَٰذَا (hāḏā)‎, demonstrative pronoun
سَمَآء (samaʾāʾ)‎, noun
نَفْس (nafs)‎, noun
شَيْء (šayʾ)‎, noun
أَو (ʾaw)‎, coordinating conjunction
كِتَٰب (kitāb)‎, noun
بَيْن (bayn)‎, location adverb
حَقّ (ḥaqq)‎, noun
نَّاس (nnās)‎, noun
إِذ (ʾiḏ)‎, time adverb
أُولَٰٓئِك‎, demonstrative pronoun
قَبْل (qabl)‎, noun
مُؤْمِن (muʾmin)‎, noun
لَو (law)‎, conditional particle
مَن (man)‎, conditional particle
سَبِيل (sabīl)‎, noun
أَمْر (ʾamr)‎, noun
عِند‎, location adverb
مَع (maʿ)‎, location adverb
بَعْض (baʿḍ)‎, noun
لَمَّا (lammā)‎, time adverb
أَيُّهَا (ʾayyuhā)‎, noun
خَيْر (ḵayr)‎, noun
إِلَٰه (ʾilāh)‎, noun
نَار (nār)‎, noun
غَيْر (ḡayr)‎, noun
أَم (ʾam)‎, coordinating conjunction
مُوسَىٰ (mūsā)‎, proper noun
دُون (dūn)‎, noun
آخِر (ʾāḵir)‎, noun
بَعْد (baʿd)‎, noun
قَلْب (qalb)‎, noun
عَبْد (ʿabd)‎, noun
أَهْل (ʾahl)‎, noun
لَعَلّ (laʿall)‎, accusative particle
بَل (bal)‎, retraction particle
يَد (yad)‎, noun
كَٰفِرُون (kāfirūn)‎, noun
إِن (ʾin)‎, negative particle
رَحْمَة (raḥma)‎, noun
رَّحِيم (rraḥīm)‎, adjective
أَجْر (ʾajr)‎, noun
ظَالِم (ẓālim)‎, noun
عِلْم (ʿilm)‎, noun
عَظِيم (ʿaẓīm)‎, adjective
لَن (lan)‎, negative particle
إِلَّا (ʾillā)‎, exceptive particle
عَلِيم (ʿalīm)‎, adjective
جَنَّة (janna)‎, noun
حَتَّىٰ (ḥattā)‎, preposition
هَل (hal)‎, interogative particle
دِين (dīn)‎, noun
قَوْل (qawl)‎, noun
مَا (mā)‎, interogative particle
ذُو (ḏū)‎, noun
مَلَك (malak)‎, noun
مَثَل (maṯal)‎, noun
مَال (māl)‎, noun
وَلِىّ‎, noun
هُدًى (hudan)‎, noun
حَكِيم (ḥakīm)‎, adjective
فَضْل (faḍl)‎, noun
صَلَوٰة (ṣalawā)‎, noun
لَيْل (layl)‎, noun
بُنَىّ (bunāā)‎, noun
شَيْطَٰن (šayṭān)‎, proper noun
كَيْف (kayf)‎, interogative particle
يَوْم (yawm)‎, time adverb
مَا (mā)‎, subordinating conjunction
أَصْحَٰب (ʾaṣḥāb)‎, noun
أَكْثَر (ʾakṯar)‎, noun
جَهَنَّم (jahannam)‎, proper noun
حَيَوٰة (ḥayawā)‎, noun
ذِكْر (ḏikr)‎, noun
زَوْج (zawj)‎, noun
أَخ (ʾaḵ)‎, noun
مِثْل (miṯl)‎, noun
نَّبِىّ‎, noun
أَحَد (ʾaḥad)‎, noun
خَٰلِد (ḵālid)‎, noun
دُّنْيَا (ddunyā)‎, adjective
فِرْعَوْن (firʿawn)‎, proper noun
عَٰلَمِين (ʿālamīn)‎, noun
أَلِيم (ʾalīm)‎, adjective
مُّبِين (mmubīn)‎, noun
إِنسَٰن‎, noun
عَمَل (ʿamal)‎, noun
وَجْه (wajh)‎, noun
قِيَٰمَة (qiyāma)‎, noun
يَوْمَئِذ (yawmaʾiḏ)‎, time adverb
إِبْرَاهِيم (ʾibrāhīm)‎, proper noun
قُرْءَان (qurʾān)‎, proper noun
بَعْد (baʿd)‎, time adverb
بَيْت (bayt)‎, noun
لَٰكِن (lākin)‎, amendment particle
يَمِين (yamīn)‎, noun
آبَاء (ʾābāʾ)‎, noun
أُمَّة (ʾumma)‎, noun
ٱبْن (bn)‎, noun
عَزِيز (ʿazīz)‎, noun
مَآء (maʾāʾ)‎, noun
صَّٰلِحَٰت (ṣṣāliḥāt)‎, noun
عَلِيم (ʿalīm)‎, noun
غَفُور (ḡafūr)‎, noun
أَوَّل (ʾawwal)‎, noun
صَٰلِح (ṣāliḥ)‎, noun
صَادِق (ṣādiq)‎, noun
نِسَآء (nisaʾāʾ)‎, noun
نَذِير (naḏīr)‎, noun
عَيْن (ʿayn)‎, noun
قَرْيَة (qarya)‎, noun
لَٰكِنّ (lākinn)‎, accusative particle
نَهَار (nahār)‎, noun
وَلَد (walad)‎, noun
بَيِّنَة (bayyina)‎, noun
رِزْق (rizq)‎, noun
نَهَر (nahar)‎, noun
جَمِيع (jamīʿ)‎, noun
أَجَل (ʾajal)‎, noun
خَلْق (ḵalq)‎, noun
جَنَّة (janna)‎, proper noun
سُوٓء‎, noun
مَوْت (mawt)‎, noun
نِعْمَة (niʿma)‎, noun
عَدُوّ (ʿaduww)‎, noun
غَيْب (ḡayb)‎, noun
مُتَّقِين (muttaqīn)‎, noun
وَعْد (waʿd)‎, noun
