بَٰسِط (bāsiṭ)‎, Noun
بَال (bāl)‎, Noun
بُرُوج (burūj)‎, Noun
بَعْث (baʿṯ)‎, Noun
بَقَرَة (baqara)‎, Noun
بَل (bal)‎, Inceptive particle
تَقِيّ (taqiyy)‎, Noun
ثُبُور (ṯubūr)‎, Noun
ثَقِيل (ṯaqīl)‎, Adjective
ثَمّ (ṯamm)‎, Location adverb
جِهَاد (jihād)‎, Noun
جَهَٰلَة (jahāla)‎, Noun
جَوَاب (jawāb)‎, Noun
جُوع (jūʿ)‎, Noun
حَاصِب (ḥāṣib)‎, Noun
حِجْر (ḥijr)‎, Noun
حَرْب (ḥarb)‎, Noun
حَصِيد (ḥaṣīd)‎, Noun
حَلِيم (ḥalīm)‎, Noun
حِلْيَة (ḥilya)‎, Noun
حُور (ḥūr)‎, Noun
حِين (ḥīn)‎, Time adverb
خَاوِيَة (ḵāwiya)‎, Noun
خَبِيثَة (ḵabīṯa)‎, Noun
خَزَنَت (ḵazanat)‎, Noun
خُضْر (ḵuḍr)‎, Noun
خَلِيل (ḵalīl)‎, Noun
دَأْب (daʾb)‎, Noun
دَابِر (dābir)‎, Noun
دَٰخِرُون (dāḵirūn)‎, Noun
دَاعِى‎, Noun
دَعْوَىٰ (daʿwā)‎, Noun
ذُرِّيَّٰت (ḏurriyyāt)‎, Noun
رَٰجِعُون (rājiʿūn)‎, Noun
رَّجْفَة (rrajfa)‎, Noun
رَجِيم (rajīm)‎, Adjective
رَّحِيم (rraḥīm)‎, Noun
رِسَالَة (risāla)‎, Noun
زُخْرُف (zuḵruf)‎, Noun
زُلْفَىٰٓ‎, Noun
زُّور (zzūr)‎, Noun
سَاق (sāq)‎, Noun
سَبْعَة (sabʿa)‎, Noun
سُّجُود (ssujūd)‎, Noun
سَدّ (sadd)‎, Noun
سِرَاج (sirāj)‎, Noun
سَفِينَة (safīna)‎, Noun
سَقَر (saqar)‎, Proper noun
سَقْف (saqf)‎, Noun
سَمَّٰعُون (sammāʿūn)‎, Noun
سُّوق (ssūq)‎, Noun
شَأْن (šaʾn)‎, Noun
شَعَٰٓئِر‎, Noun
شِفَآء (šifaʾāʾ)‎, Noun
شِهَاب (šihāb)‎, Noun
صَٰحِبَة (ṣāḥiba)‎, Noun
صَبَّار (ṣabbār)‎, Adjective
صُبْح (ṣubḥ)‎, Noun
صَرْح (ṣarḥ)‎, Noun
صَعِيد (ṣaʿīd)‎, Noun
صَلْصَٰل (ṣalṣāl)‎, Noun
ضُحًى (ḍuḥan)‎, Noun
ضِعْف (ḍiʿf)‎, Adjective
ضَعْف (ḍaʿf)‎, Noun
طَآئِف (ṭaʾāʾif)‎, Noun
طَٰغِين (ṭāḡīn)‎, Noun
طَرِيق (ṭarīq)‎, Noun
طِفْل (ṭifl)‎, Noun
طَلْع (ṭalʿ)‎, Noun
طَمَع (ṭamaʿ)‎, Noun
طَوْع (ṭawʿ)‎, Noun
ظَالِمَة (ẓālima)‎, Noun
ظَهِير (ẓahīr)‎, Noun
عَالِي (ʿālī)‎, Noun
عَجُوز (ʿajūz)‎, Noun
عَرْض (ʿarḍ)‎, Noun
عَشَر (ʿašar)‎, Noun
عُصْبَة (ʿuṣba)‎, Noun
عُقْدَة (ʿuqda)‎, Noun
عَلَانِيَة (ʿalāniya)‎, Noun
عُلُوّ (ʿuluww)‎, Noun
عَوْرَة (ʿawra)‎, Noun
غَمَٰم (ḡamām)‎, Noun
غَنِىّ‎, Adjective
غَيّ (ḡayy)‎, Noun
غُيُوب (ḡuyūb)‎, Noun
فَآئِزُون (faʾāʾizūn)‎, Noun
فَخُور (faḵūr)‎, Adjective
فِرَار (firār)‎, Noun
فُسُوق (fusūq)‎, Noun
قَآئِمَة (qaʾāʾima)‎, Noun
قَٰرُون (qārūn)‎, Proper noun
قُدُس (qudus)‎, Noun
قِصَاص (qiṣāṣ)‎, Noun
قَصْر (qaṣr)‎, Noun
قُعُود (quʿūd)‎, Noun
قَلَم (qalam)‎, Noun
قِيل (qīl)‎, Noun
كَرْب (karb)‎, Noun
كِسَف (kisaf)‎, Noun
كَفَّار (kaffār)‎, Adjective
كَفَّٰرَة (kaffāra)‎, Noun
كِفْل (kifl)‎, Noun
كَلَٰم (kalām)‎, Noun
كَلِم (kalim)‎, Noun
لَطِيف (laṭīf)‎, Adjective
مُبْصِر (mubṣir)‎, Noun
مُبْلِسُون (mublisūn)‎, Noun
مُّتَقَٰبِلِين (mmutaqābilīn)‎, Noun
مُتَوَكِّلُون (mutawakkilūn)‎, Noun
مُجَٰهِدِين (mujāhidīn)‎, Noun
مَّجِيد (mmajīd)‎, Adjective
مِحْرَاب (miḥrāb)‎, Noun
مُحَرَّم (muḥarram)‎, Noun
مَحْرُوم (maḥrūm)‎, Noun
مُحَمَّد (muḥammad)‎, Proper noun
مُخَلَّفُون (muḵallafūn)‎, Noun
مَدِينَة (madīna)‎, Proper noun
مُرْسِل (mursil)‎, Noun
مَرْء (marʾ)‎, Noun
مُّسْتَضْعَفُون (mmustaḍʿafūn)‎, Noun
مَّسْحُور (mmasḥūr)‎, Noun
مِصْبَاح (miṣbāḥ)‎, Noun
مُصَدِّق (muṣaddiq)‎, Adjective
مِصْر (miṣr)‎, Proper noun
مُعَذِّب (muʿaḏḏib)‎, Noun
مُعَذَّبِين (muʿaḏḏabīn)‎, Noun
مَّعْرُوف (mmaʿrūf)‎, Adjective
مَغَانِم (maḡānim)‎, Noun
مُّغْرَقُون (mmuḡraqūn)‎, Noun
مُّقْتَدِر (mmuqtadir)‎, Noun
مَقْعَد (maqʿad)‎, Noun
مُّكْرَمُون (mmukramūn)‎, Noun
مُّلَٰقُوا (mmulāqū)‎, Noun
مَلَكُوت (malakūt)‎, Noun
مُمْتَرِين (mumtarīn)‎, Noun
مَمْنُون (mamnūn)‎, Noun
مَنَام (manām)‎, Noun
مُّنتَصِر‎, Noun
مَنسَك‎, Noun
مُّؤْمِنَٰت (mmuʾmināt)‎, Adjective
مُّؤْمِنَة (mmuʾmina)‎, Adjective
مَّيِّت (mmayyit)‎, Adjective
مَّيْت (mmayt)‎, Adjective
نَصَب (naṣab)‎, Noun
نَعْجَة (naʿja)‎, Noun
نَعَم (naʿam)‎, Answer particle
نَكِير (nakīr)‎, Noun
هُنَا (hunā)‎, Demonstrative pronoun
وَبَال (wabāl)‎, Noun
وَقُود (waqūd)‎, Noun
يُونُس (yūnus)‎, Proper noun
ءَامِن (ʾāmin)‎, Noun
آثِم (ʾāṯim)‎, Noun
آخِذ (ʾāḵiḏ)‎, Noun
أَبْيَض (ʾabyaḍ)‎, Adjective
أُجَاج (ʾujāj)‎, Noun
أَجْدَاث (ʾajdāṯ)‎, Noun
أَخْبَار (ʾaḵbār)‎, Noun
إِذَا (ʾiḏā)‎, Surprise particle
أَذْقَان (ʾaḏqān)‎, Noun
أَسْفَل (ʾasfal)‎, Noun
أُسْوَة (ʾuswa)‎, Noun
أَشَدّ (ʾašadd)‎, Adjective
أَشْقَى (ʾašqā)‎, Noun
إِصْر (ʾiṣr)‎, Noun
أَصْل (ʾaṣl)‎, Noun
أَصِيل (ʾaṣīl)‎, Noun
إِطْعَٰم (ʾiṭʿām)‎, Noun
أَعَزّ (ʾaʿazz)‎, Noun
