Verb, Root, Form, Translation
تَجَسَّسُ (tajassasu) ‎, ج س س (j s s), V, to spy,
تَتَجَافَىٰ (tatajāfā) ‎, ج ف و (j f w), I, to forsake,
أَجْلِبْ (ʾajlib) ‎, ج ل ب (j l b), IV, to raise,
يَجْمَحُ (yajmaḥu) ‎, ج م ح (j m ḥ), I, to run wild,
ٱجْنُبْ (jnub) ‎, ج ن ب (j n b), I, to keep away,
يُجَنَّبُ (yujannabu) ‎, ج ن ب (j n b), II, to remove from,
يَتَجَنَّبُ (yatajannabu) ‎, ج ن ب (j n b), V, to avoid,
جَنَّ (janna) ‎, ج ن ن (j n n), I, to cover,
جَابُ (jābu) ‎, ج و ب (j w b), I, to carve,
يُجَاوِرُ (yujāwiru) ‎, ج و ر (j w r), III, to be neighbours,
ٱسْتَجَارَ (stajāra) ‎, ج و ر (j w r), X, to seek protection,
نَتَجَاوَزُ (natajāwazu) ‎, ج و ز (j w z), VI, to overlook,
جَاسُ (jāsu) ‎, ج و س (j w s), I, to enter,
تَجُوعَ (tajūʿa) ‎, ج و ع (j w ʿ), I, to be hungry,
حَبَّبَ (ḥabbaba) ‎, ح ب ب (ḥ b b), II, to endear,
حَجَّ (ḥajja) ‎, ح ج ج (ḥ j j), I, to perform pilgrimage, to argue
يَتَحَآجُّ (yataḥaʾājju) ‎, ح ج ج (ḥ j j), VI, to dispute,
تَحْرُثُ (taḥruṯu) ‎, ح ر ث (ḥ r ṯ), I, to sow,
ٱحْتَرَقَتْ (ḥtaraqat) ‎, ح ر ق (ḥ r q), VIII, to burn,
تُحَرِّكْ (tuḥarrik) ‎, ح ر ك (ḥ r k), II, to move,
تَحَرَّ (taḥarra) ‎, ح ر ي (ḥ r y), I, to seek,
يَسْتَحْسِرُ (yastaḥsiru) ‎, ح س ر (ḥ s r), X, to tire,
تَحُسُّ (taḥussu) ‎, ح س س (ḥ s s), I, to inquire, to kill
تَحَسَّسُ (taḥassasu) ‎, ح س س (ḥ s s), V, to inquire,
حَصْحَصَ (ḥaṣḥaṣa) ‎, ح ص ح ص (ḥ ṣ ḥ ṣ), I, to become manifest,
حَصَد (ḥaṣad) ‎, ح ص د (ḥ ṣ d), I, to reap,
حُصِّلَ (ḥuṣṣila) ‎, ح ص ل (ḥ ṣ l), II, to make apparent,
تَحَٰٓضُّ ‎, ح ض ض (ḥ ḍ ḍ), VI, to feel the urge,
