vuelo	vuelo volar
ante	ante
bienvenido	bienvenido
harás	hacer
encontramos	encontrar
encontrado	encontrar
contacto	contacto contactar
posición	posición
saberlo	saber
planeta	planeta
humanos	humano
coronel	coronel
junto	junto juntar
diría	decir
ésa	ese
base	base basar
oír	oír
suelo	suelo soler
pelear	pelear
ayudarte	ayudar
pistola	pistola
frío	frío freír
comandante	comandante
partes	parte partir
llega	llegar
verás	ver
sur	sur
iremos	ir
rato	rato
mar	mar
espacio	espacio
asesinato	asesinato
ventana	ventana
prisa	prisa
tienda	tienda tender
cámara	cámara
puedas	poder
según	según
broma	broma
reunión	reunión
despierta	despertar
sacar	sacar
tí	ti
segunda	segundo
papel	papel
locura	locura
departamento	departamento
horrible	horrible
enfermo	enfermo
pregunto	preguntar
cárcel	cárcel
órdenes	orden
intento	intento intentar
isla	isla
salida	salida salir
llamó	llamar
volveré	volver
usa	usar
gato	gato
hagan	hacer
dejes	dejar
duele	doler
vengan	venir
crimen	crimen
esperaba	esperar
causa	causa causar
bar	bar
seré	ser
ocho	ocho
temprano	temprano
río	río reír
relación	relación
drogas	droga
luces	luz
bromeando	bromear
ojalá	ojalá
hablamos	hablar
trabaja	trabajar
irse	ir
libros	libro
radio	radio
vienes	venir
quedan	quedar
excepto	excepto
brazo	brazo
tome	tomar
rojo	rojo
conocido	conocido conocer
universidad	universidad
investigación	investigación
batalla	batalla
reglas	regla
cargo	cargo cargar
hogar	hogar
ninguno	ninguno
dieron	dar
vuelva	volver
sabías	saber
respeto	respeto respetar
estación	estación
corte	corte cortar
paciente	paciente
encuentro	encuentro encontrar
energía	energía
dejado	dejado dejar
baile	baile
abuela	abuela
caliente	caliente
vieja	viejo
viendo	ver
veremos	ver
rayos	rayo
simple	simple
bailar	bailar
papa	papa
triste	triste
zona	zona
serás	ser
guardia	guardia
canción	canción
salud	salud
escuchar	escuchar
parar	parar
estarás	estar
cenar	cenar
soldados	soldado
caballo	caballo
serán	ser
estaremos	estar
interesa	interesar
volar	volar
principio	principio
nivel	nivel
cálmate	calmar
conocer	conocer
finalmente	finalmente
alegro	alegrar alegro
debajo	debajo
podrían	poder
bosque	bosque
bonita	bonito
bolsa	bolsa
pone	poner
taxi	taxi
ocupado	ocupado ocupar
amable	amable
acaso	acaso
detente	detener
imbécil	imbécil
san	san San
equivocado	equivocado
viva	vivir
puso	poner
obra	obra obrar
consejo	consejo
público	público
ayúdame	ayudar
animales	animal
azul	azul
apuesto	apostar
prisión	prisión
mirar	mirar
inteligente	inteligente
metros	metro
fantástico	fantástico
próximo	próximo
jugando	jugar
ojo	ojo
salga	salir
vea	ver
llaman	llamar
entrada	entrada entrar
duda	duda dudar
cerveza	cerveza
unidos	unido unir
matado	matado matar
princesa	princesa
perdí	perder
entender	entender
santa	santo
quedar	quedar
miles	mil
llamaré	llamar
compañero	compañero
pensado	pensar
espalda	espalda
dejé	dejar
bomba	bomba
cartas	carta
apenas	apenas
leer	leer
hermanos	hermano
darme	dar
papi	papi
mantener	mantener
suyo	suyo
rico	rico
verla	ver
lee	leer
sigues	seguir
toca	tocar
olvídalo	olvidar
acción	acción
hayas	haber haya
dioses	dios
mando	mando mandar
dejaré	dejar
llegue	llegar
formas	forma formar
uh	uh
cierra	cerrar
damas	dama
puente	puente
memoria	memoria
regresa	regresar
muévanse	mover
parecía	parecer
vestido	vestido vestir
llaves	llave
tv	TV
camión	camión
acabar	acabar
robot	robot
llevó	llevar
montón	montón
estuviste	estar
máquina	máquina
puertas	puerta
podamos	poder podar
muere	morir
trago	trago tragar
mayoría	mayoría
reina	reina reinar
lleno	lleno llenar
inglés	inglés
don	don
soldado	soldado soldar
estrella	estrella estrellar
escuche	escuchar
valor	valor
pido	pedir
delante	delante
código	código
héroe	héroe
fe	fe
capaz	capaz
verme	ver
beber	beber
velocidad	velocidad
darte	dar
llevas	llevar
partido	partido partir
estuviera	estar
dia	día
opinión	opinión
irte	ir
cocina	cocina cocinar
abrir	abrir
perros	perro
tambien	también
sepa	saber
pareces	parecer
escribir	escribir
golpe	golpe
tenia	tener
alta	alta
estados	estado estar
tocar	tocar
vuelvo	volver
habían	haber
ganas	gana ganar
hacerte	hacer
dejo	dejar
volvió	volver
ejemplo	ejemplo
contar	contar
tenían	tener
propósito	propósito
entiende	entender
empieza	empezar
