marines	marine
mantendré	mantener
insignia	insignia
halló	hallar
filete	filete
esperad	esperar
enviaste	enviar
enseñando	enseñar
disfruto	disfrutar
determinar	determinar
desesperada	desesperado desesperar
delincuente	delincuente
cristianos	cristiano
calentamiento	calentamiento
agradecerte	agradecer
afectado	afectado afectar
ábrelo	abrir
sincera	sincero
quedando	quedar
pila	pila
peligrosas	peligroso
nasa	nasa NASA
mataran	matar
lamentablemente	lamentablemente
labor	labor
jinete	jinete
hipoteca	hipoteca
hacerles	hacer
femenina	femenino
elemento	elemento
deshacerse	deshacer
defensas	defensa
cuarentena	cuarentena
comete	cometer
casamos	casar
camarera	camarera
callarte	callar
baloncesto	baloncesto
acabaste	acabar
vendí	vender
tuvieran	tener
sonidos	sonido
sirves	servir
separación	separación
quítame	quitar
opuesto	opuesto oponer
norteamericano	norteamericano
llevarle	llevar
hospitalidad	hospitalidad
enteró	enterar
declaro	declarar
cifras	cifra
catorce	catorce
cambies	cambiar
ayudame	ayudar
aprendió	aprender
apagado	apagado apagar
alambre	alambre
terremoto	terremoto
separarnos	separar
secretas	secreto
quemaduras	quemadura
preparo	preparar
poeta	poeta
pagarás	pagar
olvidalo	olvidar
mudo	mudo mudar
magdalena	magdalena
letrero	letrero
esconderse	esconder
email	email
conseguirás	conseguir
terminada	terminado terminar
táctica	táctica
sonaba	sonar
shh	shh
sepamos	saber
quedaras	quedar
púdrete	pudrir
patán	patán
pareciera	parecer
nucleares	nuclear
moría	morir
mírala	mirar
miento	mentir
lesiones	lesión
leones	león
invertir	invertir
insulto	insulto insultar
grites	gritar
flotando	flotar
flechas	flecha
establecer	establecer
elevador	elevador
eléctrico	eléctrico
dueña	dueña dueño
determinado	determinado determinar
cuevas	cueva
cuadra	cuadra
cortando	cortar
cambiarlo	cambiar
aprovechar	aprovechar
anual	anual
anímate	animar
ando	andar
suspendido	suspendido suspender
sentirá	sentir
perras	perra
melodía	melodía
mandan	mandar
linaje	linaje
levántese	levantar
interruptor	interruptor
decidieron	decidir
conversaciones	conversación
contrabando	contrabando contrabandar
cachorro	cachorro
bañera	bañera
asustar	asustar
aceptó	aceptar
abren	abrir
vinos	vino
vasos	vaso
sueltes	soltar
profecía	profecía
molestarte	molestar
metiendo	meter
llueve	llover
invitada	invitado invitar
inocencia	inocencia
helicópteros	helicóptero
guarde	guardar
grandiosa	grandioso
físicamente	físicamente
esperándote	esperar
enrique	enrique Enrique
elegiste	elegir
diente	diente
desarrollar	desarrollar
construyendo	construir
conocieron	conocer
chicle	chicle
atlántico	atlántico
acondicionado	acondicionado
acercarme	acercar
abrí	abrir
tirador	tirador
ruina	ruina
respeta	respetar
recordaba	recordar
polis	polis
perseguir	perseguir
pégale	pegar
novedad	novedad
muévase	mover
muerde	morder
moscas	mosca
memorias	memoria
langosta	langosta
japonesa	japonés
insiste	insistir
hablaron	hablar
generales	general
freno	freno frenar
existía	existir
examinar	examinar
euros	Euro
etapa	etapa
detención	detención
cuervos	cuervo
convertirá	convertir
congresista	congresista
asusté	asustar
subtitulos	subtítulo
sonó	sonar
separamos	separar
reflejo	reflejo reflejar
navidades	navidad
moverte	mover
levantó	levantar
italiana	italiano
integridad	integridad
informa	informar
hanzo	hanzo
hábil	hábil
fabulosa	fabuloso
demas	demás
cofre	cofre
causando	causar
cancha	cancha
bruto	bruto
brindemos	brindar
ayudarás	ayudar
abandonada	abandonado abandonar
vito	vito
vestir	vestir
usaron	usar
torpedos	torpedo
sonda	sonda sondar
relajarte	relajar
reactor	reactor
pobreza	pobreza
ocupar	ocupar
moverme	mover
localizado	localizado localizar
llévala	llevar
insoportable	insoportable
insecto	insecto
explota	explotar
escondida	escondido esconder
engañó	engañar
encontrara	encontrar
dinamita	dinamita
desaparición	desaparición
depto	departamento
debíamos	deber
creed	creer
corra	correr
compramos	comprar
cercana	cercano
barro	barro barrer
arreglaremos	arreglar
valentía	valentía
tratos	trato
salmón	salmón
quitas	quitar
perdonen	perdonar
nerviosos	nervioso
necesariamente	necesariamente
mercedes	merced
mejora	mejorar
maravillas	maravilla
levantarme	levantar
intentaron	intentar
intelectual	intelectual
ingenioso	ingenioso
hirieron	herir
hablabas	hablar
frito	frito freír
escapaste	escapar
desactivar	desactivar
concierne	concernir
cómodos	cómodo
calcetines	calcetín
agradecimiento	agradecimiento
abriendo	abrir
tubos	tubo
tristes	triste
texto	texto
ritual	ritual
reservado	reservado reservar
proyectos	proyecto
perpetua	perpetuo
observador	observador
nadando	nadar
moviéndose	mover
mátala	matar
mantuvo	mantener
latín	latín
irlandeses	irlandés
inaceptable	inaceptable
golfo	golfo
exitosa	exitoso
escucharte	escuchar
elle	elle
desnudos	desnudo desnudar
descansen	descansar
descansando	descansar
costar	costar
conociera	conocer
comunicarse	comunicar
coja	cojo coger
chao	chao
